Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS01,19.799999999999994
Sample 10,WS01,14.5
Sample 2,WS01,21.099999999999994
Sample 3,WS01,22.299999999999994
Sample 4,WS01,19.900000000000002
Sample 5,WS01,27.59999999999999
Sample 6,WS01,17.799999999999997
Sample 7,WS01,20.6
Sample 8,WS01,34
Sample 9,WS01,18.5
Sample 1,WS02,11.099999999999996
Sample 10,WS02,0.4
Sample 2,WS02,8.5
Sample 3,WS02,22.299999999999997
Sample 4,WS02,17.900000000000002
Sample 5,WS02,0
Sample 6,WS02,13.900000000000004
Sample 7,WS02,7.999999999999997
Sample 8,WS02,8.999999999999998
Sample 9,WS02,8.299999999999999
Sample 1,WS03,23.9
Sample 10,WS03,22.4
Sample 2,WS03,18.2
Sample 3,WS03,19.1
Sample 4,WS03,10.8
Sample 5,WS03,32.8
Sample 6,WS03,16.1
Sample 7,WS03,17.900000000000002
Sample 8,WS03,14.999999999999998
Sample 9,WS03,31.30000000000001
Sample 1,WS04,1.4000000000000001
Sample 10,WS04,0
Sample 2,WS04,0
Sample 3,WS04,0
Sample 4,WS04,0
Sample 5,WS04,2.6
Sample 6,WS04,0
Sample 7,WS04,3.6
Sample 8,WS04,0
Sample 9,WS04,0
Sample 1,WS05,78.60000000000004
Sample 10,WS05,70
Sample 2,WS05,80.7
Sample 3,WS05,83.5
Sample 4,WS05,77.8
Sample 5,WS05,92.89999999999996
Sample 6,WS05,83.10000000000001
Sample 7,WS05,69.39999999999999
Sample 8,WS05,77.69999999999999
Sample 9,WS05,72.00000000000001
Sample 1,WS06,117.50000000000001
Sample 10,WS06,110.8
Sample 2,WS06,124.60000000000001
Sample 3,WS06,106.30000000000003
Sample 4,WS06,123.49999999999997
Sample 5,WS06,128.99999999999994
Sample 6,WS06,132.79999999999998
Sample 7,WS06,115.99999999999997
Sample 8,WS06,107.29999999999998
Sample 9,WS06,118.60000000000001
Sample 1,WS07,38.300000000000004
Sample 10,WS07,44.30000000000001
Sample 2,WS07,34.900000000000006
Sample 3,WS07,50.79999999999998
Sample 4,WS07,27.700000000000003
Sample 5,WS07,41.499999999999986
Sample 6,WS07,43.5
Sample 7,WS07,30.500000000000007
Sample 8,WS07,29.1
Sample 9,WS07,29.200000000000006
Sample 1,WS08,0
Sample 10,WS08,0
Sample 2,WS08,0
Sample 3,WS08,0
Sample 4,WS08,0.1
Sample 5,WS08,0.30000000000000004
Sample 6,WS08,0
Sample 7,WS08,0.1
Sample 8,WS08,0.2
Sample 9,WS08,0.30000000000000004
Sample 1,WS09,4
Sample 10,WS09,3.5
Sample 2,WS09,2.3
Sample 3,WS09,2.4999999999999996
Sample 4,WS09,4.5
Sample 5,WS09,7.6
Sample 6,WS09,4.800000000000001
Sample 7,WS09,2.4999999999999996
Sample 8,WS09,9.400000000000002
Sample 9,WS09,2.7
Sample 1,WS10,0.4
Sample 10,WS10,1.2
Sample 2,WS10,0.30000000000000004
Sample 3,WS10,1.3
Sample 4,WS10,0.2
Sample 5,WS10,0
Sample 6,WS10,0
Sample 7,WS10,1.9000000000000004
Sample 8,WS10,2.900000000000001
Sample 9,WS10,0
Sample 1,WS11,21.9
Sample 10,WS11,53.8
Sample 2,WS11,33.70000000000001
Sample 3,WS11,10.599999999999996
Sample 4,WS11,32.9
Sample 5,WS11,26.799999999999997
Sample 6,WS11,27.300000000000004
Sample 7,WS11,29.000000000000007
Sample 8,WS11,21.59999999999999
Sample 9,WS11,16.8
Sample 1,WS12,16.5
Sample 10,WS12,12.599999999999998
Sample 2,WS12,12.799999999999995
Sample 3,WS12,13.800000000000002
Sample 4,WS12,17.599999999999998
Sample 5,WS12,10.700000000000001
Sample 6,WS12,13.800000000000002
Sample 7,WS12,10.299999999999999
Sample 8,WS12,23.1
Sample 9,WS12,14.100000000000001
Sample 1,WS13,298.0000000000001
Sample 10,WS13,358.7000000000001
Sample 2,WS13,333.6999999999999
Sample 3,WS13,333.5
Sample 4,WS13,309.60000000000014
Sample 5,WS13,295.20000000000005
Sample 6,WS13,314.59999999999997
Sample 7,WS13,339.5999999999999
Sample 8,WS13,312.7999999999999
Sample 9,WS13,337.89999999999986
Sample 1,WS14,12.8
Sample 10,WS14,20.599999999999998
Sample 2,WS14,11.2
Sample 3,WS14,13.500000000000004
Sample 4,WS14,18.799999999999997
Sample 5,WS14,5.8
Sample 6,WS14,10.1
Sample 7,WS14,19.9
Sample 8,WS14,12.199999999999998
Sample 9,WS14,12.999999999999996
Sample 1,WS15,152.00000000000006
Sample 10,WS15,122.49999999999997
Sample 2,WS15,111.49999999999999
Sample 3,WS15,110.09999999999998
Sample 4,WS15,113.6
Sample 5,WS15,106.10000000000002
Sample 6,WS15,107.89999999999995
Sample 7,WS15,119.49999999999997
Sample 8,WS15,106.4
Sample 9,WS15,112.8
Sample 1,WS16,0.7
Sample 10,WS16,4.5
Sample 2,WS16,5.2
Sample 3,WS16,0.7
Sample 4,WS16,0
Sample 5,WS16,0.1
Sample 6,WS16,4.4
Sample 7,WS16,0
Sample 8,WS16,1.9000000000000001
Sample 9,WS16,0.8999999999999999
Sample 1,WS17,10.9
Sample 10,WS17,14.099999999999996
Sample 2,WS17,9.2
Sample 3,WS17,15.2
Sample 4,WS17,10.899999999999999
Sample 5,WS17,15.299999999999999
Sample 6,WS17,16.3
Sample 7,WS17,11.500000000000002
Sample 8,WS17,13.700000000000001
Sample 9,WS17,12.099999999999998
Sample 1,WS18,78
Sample 10,WS18,78.99999999999996
Sample 2,WS18,83.1
Sample 3,WS18,75.89999999999998
Sample 4,WS18,78.59999999999998
Sample 5,WS18,73.7
Sample 6,WS18,72.39999999999998
Sample 7,WS18,72.29999999999998
Sample 8,WS18,86.5
Sample 9,WS18,75.29999999999997
Sample 1,WS19,182.00000000000006
Sample 10,WS19,196.79999999999995
Sample 2,WS19,183.7000000000001
Sample 3,WS19,170.79999999999998
Sample 4,WS19,154.79999999999998
Sample 5,WS19,159.89999999999998
Sample 6,WS19,167.69999999999993
Sample 7,WS19,172.3
Sample 8,WS19,171.20000000000002
Sample 9,WS19,186.59999999999997
Sample 1,WS20,0
Sample 10,WS20,0
Sample 2,WS20,0
Sample 3,WS20,0.30000000000000004
Sample 4,WS20,0
Sample 5,WS20,0
Sample 6,WS20,0
Sample 7,WS20,0
Sample 8,WS20,0
Sample 9,WS20,0
Sample 1,WS21,64.2
Sample 10,WS21,85.09999999999997
Sample 2,WS21,69.19999999999999
Sample 3,WS21,79.00000000000001
Sample 4,WS21,50.9
Sample 5,WS21,95.80000000000001
Sample 6,WS21,83.80000000000001
Sample 7,WS21,77.7
Sample 8,WS21,69.69999999999997
Sample 9,WS21,87.7
Sample 1,WS22,7.099999999999999
Sample 10,WS22,0
Sample 2,WS22,0.8999999999999999
Sample 3,WS22,5.799999999999999
Sample 4,WS22,4.000000000000001
Sample 5,WS22,0.4
Sample 6,WS22,3.3000000000000007
Sample 7,WS22,0
Sample 8,WS22,1.7999999999999998
Sample 9,WS22,0.8
Sample 1,WS23,125.7
Sample 10,WS23,91.10000000000001
Sample 2,WS23,109.19999999999999
Sample 3,WS23,107.10000000000002
Sample 4,WS23,121.9
Sample 5,WS23,99.7
Sample 6,WS23,116.5
Sample 7,WS23,124.89999999999998
Sample 8,WS23,124.10000000000001
