Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 10,WS23,13.399999999999999
Sample 2,WS23,15.499999999999996
Sample 3,WS23,27.000000000000007
Sample 4,WS23,18.000000000000004
Sample 5,WS23,7.699999999999999
Sample 6,WS23,8
Sample 7,WS23,16.799999999999997
Sample 8,WS23,18.799999999999997
Sample 9,WS23,13.7
Sample 1,WS24,0
Sample 10,WS24,0
Sample 2,WS24,0
Sample 3,WS24,0
Sample 4,WS24,0
Sample 5,WS24,0
Sample 6,WS24,0
Sample 7,WS24,0
Sample 8,WS24,0
Sample 9,WS24,0
Sample 1,WS25,167.59999999999997
Sample 10,WS25,154.29999999999998
Sample 2,WS25,155.59999999999994
Sample 3,WS25,165.00000000000003
Sample 4,WS25,164.20000000000002
Sample 5,WS25,155.00000000000003
Sample 6,WS25,191.99999999999994
Sample 7,WS25,168.30000000000004
Sample 8,WS25,155.1
Sample 9,WS25,146.4
Sample 1,WS26,0
Sample 10,WS26,0.8999999999999999
Sample 2,WS26,0
Sample 3,WS26,0
Sample 4,WS26,0
Sample 5,WS26,0
Sample 6,WS26,0
Sample 7,WS26,2.1
Sample 8,WS26,0.1
Sample 9,WS26,0
Sample 1,WS27,0
Sample 10,WS27,0
Sample 2,WS27,0
Sample 3,WS27,0
Sample 4,WS27,0
Sample 5,WS27,0
Sample 6,WS27,0
Sample 7,WS27,0
Sample 8,WS27,0
Sample 9,WS27,0
Sample 1,WS28,0
Sample 10,WS28,0
Sample 2,WS28,0
Sample 3,WS28,0
Sample 4,WS28,0
Sample 5,WS28,0
Sample 6,WS28,0
Sample 7,WS28,0
Sample 8,WS28,0
Sample 9,WS28,0
Sample 1,WS29,0
Sample 10,WS29,0
Sample 2,WS29,0
Sample 3,WS29,0
Sample 4,WS29,0
Sample 5,WS29,0
Sample 6,WS29,0
Sample 7,WS29,0
Sample 8,WS29,0
Sample 9,WS29,0
Sample 1,WS30,0
Sample 10,WS30,0
Sample 2,WS30,0
Sample 3,WS30,0
Sample 4,WS30,0
Sample 5,WS30,0
Sample 6,WS30,0
Sample 7,WS30,0
Sample 8,WS30,0
Sample 9,WS30,0
Sample 1,WS31,0.1
Sample 10,WS31,0
Sample 2,WS31,0
Sample 3,WS31,0
Sample 4,WS31,0
Sample 5,WS31,0.8999999999999999
Sample 6,WS31,0
Sample 7,WS31,0
Sample 8,WS31,0.4
Sample 9,WS31,0
Sample 1,WS32,213.7999999999999
Sample 10,WS32,227.19999999999993
Sample 2,WS32,212.8000000000001
Sample 3,WS32,224.6
Sample 4,WS32,214.59999999999988
Sample 5,WS32,209.59999999999997
Sample 6,WS32,203.99999999999994
Sample 7,WS32,177.19999999999996
Sample 8,WS32,203.39999999999984
Sample 9,WS32,218.80000000000007
Sample 1,WS33,42.400000000000006
Sample 10,WS33,54.499999999999986
Sample 2,WS33,63.499999999999986
Sample 3,WS33,45.20000000000002
Sample 4,WS33,52.10000000000001
Sample 5,WS33,56.4
Sample 6,WS33,41.599999999999994
Sample 7,WS33,48.79999999999999
Sample 8,WS33,53.5
Sample 9,WS33,37.199999999999996
Sample 1,WS34,0.8999999999999999
Sample 10,WS34,2.1999999999999997
Sample 2,WS34,0.9999999999999999
Sample 3,WS34,0
Sample 4,WS34,0.9999999999999999
Sample 5,WS34,1.8000000000000003
Sample 6,WS34,0
Sample 7,WS34,1.5000000000000002
Sample 8,WS34,2.900000000000001
Sample 9,WS34,0
Sample 1,WS35,1.2000000000000002
Sample 10,WS35,2.4000000000000004
Sample 2,WS35,0.9
Sample 3,WS35,1.2000000000000002
Sample 4,WS35,0.4
Sample 5,WS35,0.8999999999999999
Sample 6,WS35,0.5
Sample 7,WS35,0.30000000000000004
Sample 8,WS35,0.30000000000000004
Sample 9,WS35,3.5000000000000004
Sample 1,WS36,20
Sample 10,WS36,18.400000000000002
Sample 2,WS36,20.900000000000006
Sample 3,WS36,16.2
Sample 4,WS36,21.999999999999996
Sample 5,WS36,17.3
Sample 6,WS36,20.300000000000008
Sample 7,WS36,19.3
Sample 8,WS36,20.1
Sample 9,WS36,19.600000000000005
