Year,ScenarioDetail,Average of exch-GW,SHortage
2028,Low Demand,1.0,No shortage hour
2028,Low Demand,0.6,Shortage hour
2030,Low Demand,3.0,No shortage hour
2030,Low Demand,2.7,Shortage hour
2033,Low Demand,2.8,No shortage hour
2033,Low Demand,4.6,Shortage hour
2035,Low Demand,5.6,No shortage hour
2035,Low Demand,7.2,Shortage hour
