Scenario,Years,Average of Value,WS-IT
High demand,2035,148.6,WS21-8
High demand,2035,171.0,WS21-9
High demand,2035,105.7,WS22-1
High demand,2035,87.0,WS22-10
High demand,2035,78.3,WS22-2
High demand,2035,122.7,WS22-3
High demand,2035,110.2,WS22-4
High demand,2035,73.8,WS22-5
High demand,2035,108.1,WS22-6
High demand,2035,72.5,WS22-7
High demand,2035,112.7,WS22-8
High demand,2035,104.0,WS22-9
High demand,2035,154.5,WS23-1
High demand,2035,135.9,WS23-10
High demand,2035,139.0,WS23-2
High demand,2035,146.1,WS23-3
High demand,2035,174.0,WS23-4
High demand,2035,145.1,WS23-5
High demand,2035,158.2,WS23-6
High demand,2035,139.4,WS23-7
High demand,2035,145.2,WS23-8
High demand,2035,141.1,WS23-9
High demand,2035,58.0,WS24-1
High demand,2035,58.1,WS24-10
High demand,2035,65.0,WS24-2
High demand,2035,68.4,WS24-3
High demand,2035,79.8,WS24-4
High demand,2035,59.0,WS24-5
High demand,2035,61.9,WS24-6
High demand,2035,57.7,WS24-7
High demand,2035,59.1,WS24-8
High demand,2035,57.9,WS24-9
High demand,2035,288.8,WS25-1
High demand,2035,285.5,WS25-10
High demand,2035,281.9,WS25-2
High demand,2035,282.4,WS25-3
High demand,2035,289.3,WS25-4
High demand,2035,288.2,WS25-5
High demand,2035,289.7,WS25-6
High demand,2035,281.6,WS25-7
High demand,2035,285.1,WS25-8
High demand,2035,283.0,WS25-9
High demand,2035,121.2,WS26-1
High demand,2035,106.6,WS26-10
High demand,2035,111.5,WS26-2
High demand,2035,99.5,WS26-3
High demand,2035,105.9,WS26-4
High demand,2035,124.6,WS26-5
High demand,2035,103.3,WS26-6
High demand,2035,98.9,WS26-7
High demand,2035,106.4,WS26-8
High demand,2035,117.5,WS26-9
High demand,2035,82.5,WS27-1
High demand,2035,74.1,WS27-10
High demand,2035,95.3,WS27-2
High demand,2035,87.5,WS27-3
High demand,2035,84.0,WS27-4
High demand,2035,93.5,WS27-5
High demand,2035,86.5,WS27-6
High demand,2035,82.3,WS27-7
High demand,2035,78.8,WS27-8
High demand,2035,113.5,WS27-9
High demand,2035,86.1,WS28-1
High demand,2035,102.7,WS28-10
High demand,2035,90.1,WS28-2
High demand,2035,86.5,WS28-3
High demand,2035,80.4,WS28-4
High demand,2035,89.1,WS28-5
High demand,2035,90.1,WS28-6
High demand,2035,76.8,WS28-7
High demand,2035,81.1,WS28-8
High demand,2035,94.3,WS28-9
High demand,2035,73.5,WS29-1
High demand,2035,72.8,WS29-10
High demand,2035,72.3,WS29-2
High demand,2035,73.6,WS29-3
High demand,2035,72.4,WS29-4
High demand,2035,73.4,WS29-5
High demand,2035,72.6,WS29-6
High demand,2035,72.7,WS29-7
High demand,2035,72.4,WS29-8
High demand,2035,73.1,WS29-9
High demand,2035,66.8,WS30-1
High demand,2035,67.5,WS30-10
High demand,2035,67.8,WS30-2
High demand,2035,67.9,WS30-3
High demand,2035,67.4,WS30-4
High demand,2035,67.7,WS30-5
High demand,2035,67.9,WS30-6
High demand,2035,67.4,WS30-7
High demand,2035,67.1,WS30-8
High demand,2035,67.3,WS30-9
High demand,2035,69.1,WS31-1
High demand,2035,81.5,WS31-10
High demand,2035,82.2,WS31-2
High demand,2035,69.3,WS31-3
High demand,2035,70.7,WS31-4
High demand,2035,82.0,WS31-5
High demand,2035,69.4,WS31-6
High demand,2035,70.9,WS31-7
High demand,2035,69.8,WS31-8
High demand,2035,69.1,WS31-9
High demand,2035,376.0,WS32-1
High demand,2035,379.5,WS32-10
High demand,2035,374.2,WS32-2
High demand,2035,381.0,WS32-3
High demand,2035,379.1,WS32-4
High demand,2035,378.0,WS32-5
High demand,2035,381.8,WS32-6
High demand,2035,375.7,WS32-7
High demand,2035,377.5,WS32-8
High demand,2035,378.4,WS32-9
High demand,2035,135.2,WS33-1
High demand,2035,126.1,WS33-10
High demand,2035,135.8,WS33-2
High demand,2035,135.4,WS33-3
High demand,2035,129.5,WS33-4
High demand,2035,133.0,WS33-5
High demand,2035,134.6,WS33-6
High demand,2035,134.7,WS33-7
High demand,2035,135.2,WS33-8
High demand,2035,134.8,WS33-9
High demand,2035,85.8,WS34-1
High demand,2035,86.1,WS34-10
High demand,2035,86.3,WS34-2
High demand,2035,86.0,WS34-3
High demand,2035,80.5,WS34-4
High demand,2035,86.7,WS34-5
High demand,2035,85.6,WS34-6
High demand,2035,85.5,WS34-7
High demand,2035,86.1,WS34-8
High demand,2035,86.4,WS34-9
High demand,2035,84.2,WS35-1
High demand,2035,84.0,WS35-10
High demand,2035,92.2,WS35-2
High demand,2035,83.8,WS35-3
High demand,2035,84.3,WS35-4
High demand,2035,83.7,WS35-5
High demand,2035,83.5,WS35-6
High demand,2035,83.3,WS35-7
High demand,2035,99.4,WS35-8
High demand,2035,83.5,WS35-9
High demand,2035,139.2,WS36-1
High demand,2035,139.3,WS36-10
High demand,2035,138.7,WS36-2
High demand,2035,136.8,WS36-3
High demand,2035,140.3,WS36-4
High demand,2035,140.5,WS36-5
High demand,2035,133.8,WS36-6
High demand,2035,139.2,WS36-7
High demand,2035,141.4,WS36-8
High demand,2035,140.2,WS36-9
Low demand,2035,112.0,WS01-1
Low demand,2035,111.5,WS01-10
Low demand,2035,112.4,WS01-2
Low demand,2035,111.3,WS01-3
Low demand,2035,111.9,WS01-4
Low demand,2035,111.9,WS01-5
Low demand,2035,111.6,WS01-6
Low demand,2035,111.2,WS01-7
Low demand,2035,113.1,WS01-8
Low demand,2035,112.4,WS01-9
Low demand,2035,87.2,WS02-1
Low demand,2035,63.5,WS02-10
Low demand,2035,81.4,WS02-2
Low demand,2035,89.2,WS02-3
Low demand,2035,87.9,WS02-4
Low demand,2035,63.0,WS02-5
Low demand,2035,87.5,WS02-6
Low demand,2035,80.4,WS02-7
Low demand,2035,93.9,WS02-8
Low demand,2035,67.5,WS02-9
Low demand,2035,95.7,WS03-1
Low demand,2035,88.5,WS03-10
Low demand,2035,83.7,WS03-2
Low demand,2035,94.3,WS03-3
Low demand,2035,79.2,WS03-4
Low demand,2035,103.1,WS03-5
Low demand,2035,87.9,WS03-6
Low demand,2035,94.4,WS03-7
Low demand,2035,90.2,WS03-8
Low demand,2035,102.3,WS03-9
Low demand,2035,79.1,WS04-1
Low demand,2035,71.0,WS04-10
Low demand,2035,71.5,WS04-2
Low demand,2035,70.3,WS04-3
Low demand,2035,70.6,WS04-4
Low demand,2035,80.5,WS04-5
Low demand,2035,70.7,WS04-6
Low demand,2035,85.3,WS04-7
Low demand,2035,70.6,WS04-8
Low demand,2035,70.4,WS04-9
Low demand,2035,134.4,WS05-1
Low demand,2035,133.4,WS05-10
Low demand,2035,131.1,WS05-2
Low demand,2035,142.5,WS05-3
Low demand,2035,129.6,WS05-4
Low demand,2035,151.7,WS05-5
Low demand,2035,145.7,WS05-6
Low demand,2035,132.2,WS05-7
Low demand,2035,133.4,WS05-8
Low demand,2035,130.8,WS05-9
Low demand,2035,136.2,WS06-1
Low demand,2035,142.9,WS06-10
Low demand,2035,141.4,WS06-2
Low demand,2035,137.9,WS06-3
Low demand,2035,138.9,WS06-4
Low demand,2035,138.7,WS06-5
Low demand,2035,139.4,WS06-6
Low demand,2035,139.2,WS06-7
Low demand,2035,137.3,WS06-8
Low demand,2035,143.9,WS06-9
Low demand,2035,108.5,WS07-1
Low demand,2035,108.8,WS07-10
Low demand,2035,108.4,WS07-2
Low demand,2035,110.2,WS07-3
Low demand,2035,109.0,WS07-4
Low demand,2035,107.9,WS07-5
Low demand,2035,108.9,WS07-6
Low demand,2035,108.3,WS07-7
Low demand,2035,108.4,WS07-8
Low demand,2035,108.4,WS07-9
Low demand,2035,46.1,WS08-1
Low demand,2035,46.4,WS08-10
Low demand,2035,58.0,WS08-2
Low demand,2035,46.3,WS08-3
Low demand,2035,47.8,WS08-4
Low demand,2035,58.1,WS08-5
Low demand,2035,47.3,WS08-6
Low demand,2035,57.8,WS08-7
Low demand,2035,58.3,WS08-8
Low demand,2035,57.7,WS08-9
Low demand,2035,77.1,WS09-1
Low demand,2035,76.9,WS09-10
Low demand,2035,73.1,WS09-2
Low demand,2035,76.9,WS09-3
Low demand,2035,76.8,WS09-4
Low demand,2035,77.2,WS09-5
Low demand,2035,76.9,WS09-6
Low demand,2035,76.7,WS09-7
Low demand,2035,81.7,WS09-8
Low demand,2035,76.6,WS09-9
Low demand,2035,70.2,WS10-1
Low demand,2035,78.8,WS10-10
Low demand,2035,68.4,WS10-2
Low demand,2035,77.9,WS10-3
Low demand,2035,67.3,WS10-4
Low demand,2035,65.3,WS10-5
Low demand,2035,65.4,WS10-6
Low demand,2035,78.7,WS10-7
Low demand,2035,77.6,WS10-8
Low demand,2035,65.4,WS10-9
Low demand,2035,95.0,WS11-1
Low demand,2035,117.9,WS11-10
Low demand,2035,102.8,WS11-2
Low demand,2035,89.8,WS11-3
Low demand,2035,104.3,WS11-4
Low demand,2035,96.1,WS11-5
Low demand,2035,95.6,WS11-6
Low demand,2035,108.6,WS11-7
Low demand,2035,95.7,WS11-8
Low demand,2035,94.9,WS11-9
Low demand,2035,83.5,WS12-1
Low demand,2035,76.5,WS12-10
Low demand,2035,76.1,WS12-2
Low demand,2035,75.4,WS12-3
Low demand,2035,83.8,WS12-4
Low demand,2035,74.9,WS12-5
Low demand,2035,76.2,WS12-6
Low demand,2035,74.5,WS12-7
Low demand,2035,83.6,WS12-8
Low demand,2035,76.8,WS12-9
Low demand,2035,221.9,WS13-1
Low demand,2035,216.1,WS13-10
Low demand,2035,223.7,WS13-2
Low demand,2035,218.2,WS13-3
Low demand,2035,222.3,WS13-4
Low demand,2035,217.8,WS13-5
Low demand,2035,218.3,WS13-6
Low demand,2035,219.8,WS13-7
Low demand,2035,221.0,WS13-8
Low demand,2035,214.6,WS13-9
Low demand,2035,84.0,WS14-1
Low demand,2035,95.5,WS14-10
Low demand,2035,89.9,WS14-2
Low demand,2035,76.6,WS14-3
Low demand,2035,84.8,WS14-4
Low demand,2035,83.5,WS14-5
Low demand,2035,82.6,WS14-6
Low demand,2035,83.9,WS14-7
Low demand,2035,76.9,WS14-8
Low demand,2035,86.6,WS14-9
Low demand,2035,114.0,WS15-1
Low demand,2035,113.5,WS15-10
Low demand,2035,113.9,WS15-2
Low demand,2035,112.9,WS15-3
Low demand,2035,113.8,WS15-4
Low demand,2035,113.5,WS15-5
Low demand,2035,113.4,WS15-6
Low demand,2035,113.8,WS15-7
Low demand,2035,113.5,WS15-8
Low demand,2035,112.9,WS15-9
Low demand,2035,56.8,WS16-1
Low demand,2035,71.1,WS16-10
Low demand,2035,66.5,WS16-2
Low demand,2035,56.6,WS16-3
Low demand,2035,56.1,WS16-4
Low demand,2035,56.9,WS16-5
Low demand,2035,64.7,WS16-6
Low demand,2035,56.8,WS16-7
Low demand,2035,59.3,WS16-8
Low demand,2035,57.8,WS16-9
Low demand,2035,83.7,WS17-1
Low demand,2035,93.9,WS17-10
Low demand,2035,83.0,WS17-2
Low demand,2035,84.0,WS17-3
Low demand,2035,87.4,WS17-4
Low demand,2035,84.5,WS17-5
Low demand,2035,83.0,WS17-6
Low demand,2035,84.2,WS17-7
Low demand,2035,84.2,WS17-8
Low demand,2035,82.3,WS17-9
Low demand,2035,115.9,WS18-1
Low demand,2035,116.3,WS18-10
Low demand,2035,117.1,WS18-2
Low demand,2035,123.6,WS18-3
Low demand,2035,108.0,WS18-4
Low demand,2035,124.0,WS18-5
Low demand,2035,107.5,WS18-6
Low demand,2035,108.0,WS18-7
Low demand,2035,116.3,WS18-8
Low demand,2035,110.3,WS18-9
Low demand,2035,179.9,WS19-1
Low demand,2035,203.3,WS19-10
Low demand,2035,180.1,WS19-2
Low demand,2035,170.4,WS19-3
Low demand,2035,187.0,WS19-4
Low demand,2035,186.4,WS19-5
Low demand,2035,184.6,WS19-6
Low demand,2035,180.6,WS19-7
Low demand,2035,177.4,WS19-8
Low demand,2035,191.3,WS19-9
Low demand,2035,52.6,WS20-1
Low demand,2035,51.7,WS20-10
Low demand,2035,51.9,WS20-2
Low demand,2035,53.2,WS20-3
Low demand,2035,52.5,WS20-4
Low demand,2035,52.4,WS20-5
Low demand,2035,52.2,WS20-6
Low demand,2035,52.2,WS20-7
Low demand,2035,52.4,WS20-8
Low demand,2035,52.1,WS20-9
Low demand,2035,126.0,WS21-1
Low demand,2035,136.4,WS21-10
Low demand,2035,122.1,WS21-2
Low demand,2035,143.1,WS21-3
Low demand,2035,123.6,WS21-4
Low demand,2035,139.9,WS21-5
Low demand,2035,127.4,WS21-6
Low demand,2035,143.2,WS21-7
Low demand,2035,125.9,WS21-8
Low demand,2035,144.7,WS21-9
Low demand,2035,77.4,WS22-1
Low demand,2035,58.0,WS22-10
Low demand,2035,59.1,WS22-2
Low demand,2035,60.6,WS22-3
Low demand,2035,67.5,WS22-4
Low demand,2035,58.0,WS22-5
Low demand,2035,77.0,WS22-6
Low demand,2035,57.8,WS22-7
Low demand,2035,65.3,WS22-8
Low demand,2035,59.4,WS22-9
Low demand,2035,139.6,WS23-1
Low demand,2035,129.5,WS23-10
Low demand,2035,130.4,WS23-2
Low demand,2035,139.5,WS23-3
Low demand,2035,147.7,WS23-4
Low demand,2035,131.4,WS23-5
Low demand,2035,132.7,WS23-6
Low demand,2035,131.0,WS23-7
Low demand,2035,131.9,WS23-8
Low demand,2035,130.2,WS23-9
Low demand,2035,53.1,WS24-1
Low demand,2035,53.2,WS24-10
Low demand,2035,53.5,WS24-2
Low demand,2035,53.8,WS24-3
Low demand,2035,57.2,WS24-4
Low demand,2035,53.4,WS24-5
Low demand,2035,53.2,WS24-6
Low demand,2035,53.1,WS24-7
Low demand,2035,53.4,WS24-8
Low demand,2035,53.1,WS24-9
Low demand,2035,269.6,WS25-1
Low demand,2035,263.3,WS25-10
Low demand,2035,274.2,WS25-2
Low demand,2035,251.0,WS25-3
Low demand,2035,274.7,WS25-4
Low demand,2035,260.4,WS25-5
Low demand,2035,273.9,WS25-6
Low demand,2035,232.8,WS25-7
Low demand,2035,241.1,WS25-8
Low demand,2035,267.4,WS25-9
Low demand,2035,87.1,WS26-1
Low demand,2035,98.9,WS26-10
Low demand,2035,102.3,WS26-2
Low demand,2035,91.8,WS26-3
Low demand,2035,91.9,WS26-4
Low demand,2035,95.7,WS26-5
Low demand,2035,91.6,WS26-6
Low demand,2035,91.6,WS26-7
Low demand,2035,92.8,WS26-8
Low demand,2035,93.5,WS26-9
Low demand,2035,62.0,WS27-1
Low demand,2035,61.8,WS27-10
Low demand,2035,75.7,WS27-2
Low demand,2035,62.6,WS27-3
Low demand,2035,65.8,WS27-4
Low demand,2035,75.6,WS27-5
Low demand,2035,62.0,WS27-6
Low demand,2035,61.6,WS27-7
Low demand,2035,62.4,WS27-8
Low demand,2035,68.1,WS27-9
Low demand,2035,69.2,WS28-1
Low demand,2035,70.0,WS28-10
Low demand,2035,68.8,WS28-2
Low demand,2035,68.5,WS28-3
Low demand,2035,69.2,WS28-4
Low demand,2035,69.1,WS28-5
Low demand,2035,69.2,WS28-6
Low demand,2035,68.4,WS28-7
Low demand,2035,68.7,WS28-8
Low demand,2035,68.8,WS28-9
Low demand,2035,67.4,WS29-1
Low demand,2035,67.2,WS29-10
Low demand,2035,66.6,WS29-2
Low demand,2035,66.4,WS29-3
Low demand,2035,66.5,WS29-4
Low demand,2035,67.4,WS29-5
Low demand,2035,66.7,WS29-6
Low demand,2035,67.1,WS29-7
Low demand,2035,66.8,WS29-8
Low demand,2035,67.1,WS29-9
Low demand,2035,62.1,WS30-1
Low demand,2035,62.7,WS30-10
Low demand,2035,62.8,WS30-2
Low demand,2035,62.7,WS30-3
Low demand,2035,62.6,WS30-4
Low demand,2035,62.9,WS30-5
Low demand,2035,62.9,WS30-6
Low demand,2035,62.6,WS30-7
Low demand,2035,62.3,WS30-8
Low demand,2035,62.2,WS30-9
Low demand,2035,64.4,WS31-1
Low demand,2035,66.4,WS31-10
Low demand,2035,65.8,WS31-2
Low demand,2035,64.8,WS31-3
Low demand,2035,64.8,WS31-4
Low demand,2035,65.2,WS31-5
Low demand,2035,64.4,WS31-6
Low demand,2035,64.9,WS31-7
Low demand,2035,64.9,WS31-8
Low demand,2035,64.7,WS31-9
Low demand,2035,358.1,WS32-1
Low demand,2035,370.9,WS32-10
Low demand,2035,363.2,WS32-2
Low demand,2035,363.4,WS32-3
Low demand,2035,358.7,WS32-4
Low demand,2035,365.3,WS32-5
Low demand,2035,365.4,WS32-6
Low demand,2035,365.2,WS32-7
Low demand,2035,368.7,WS32-8
Low demand,2035,367.9,WS32-9
Low demand,2035,123.6,WS33-1
Low demand,2035,112.5,WS33-10
Low demand,2035,118.1,WS33-2
Low demand,2035,117.5,WS33-3
Low demand,2035,123.8,WS33-4
Low demand,2035,117.2,WS33-5
Low demand,2035,128.8,WS33-6
Low demand,2035,127.1,WS33-7
Low demand,2035,118.5,WS33-8
Low demand,2035,123.6,WS33-9
Low demand,2035,74.5,WS34-1
Low demand,2035,81.0,WS34-10
Low demand,2035,76.2,WS34-2
Low demand,2035,81.0,WS34-3
Low demand,2035,74.1,WS34-4
Low demand,2035,80.5,WS34-5
Low demand,2035,74.2,WS34-6
Low demand,2035,74.9,WS34-7
Low demand,2035,78.9,WS34-8
Low demand,2035,81.6,WS34-9
Low demand,2035,78.5,WS35-1
Low demand,2035,77.8,WS35-10
Low demand,2035,78.9,WS35-2
Low demand,2035,77.9,WS35-3
Low demand,2035,78.4,WS35-4
Low demand,2035,78.1,WS35-5
Low demand,2035,78.1,WS35-6
Low demand,2035,77.7,WS35-7
Low demand,2035,86.9,WS35-8
Low demand,2035,78.1,WS35-9
Low demand,2035,134.8,WS36-1
Low demand,2035,129.7,WS36-10
Low demand,2035,133.8,WS36-2
Low demand,2035,128.5,WS36-3
Low demand,2035,128.3,WS36-4
Low demand,2035,128.2,WS36-5
Low demand,2035,128.3,WS36-6
Low demand,2035,133.8,WS36-7
Low demand,2035,135.1,WS36-8
Low demand,2035,135.0,WS36-9
