Event size [GWh],event_duration,Count of event_size
0 - 10,1,255
0 - 10,2,210
0 - 10,3,192
0 - 10,4,129
0 - 10,5,103
0 - 10,6,73
0 - 10,7,57
0 - 10,8,44
0 - 10,9,27
0 - 10,10,15
0 - 10,11,21
0 - 10,12,18
0 - 10,13,24
0 - 10,14,11
0 - 10,15,13
0 - 10,16,5
0 - 10,17,13
0 - 10,18,4
0 - 10,19,8
0 - 10,22,1
10 - 20,4,1
10 - 20,5,3
10 - 20,6,5
10 - 20,7,7
10 - 20,8,12
10 - 20,9,3
10 - 20,10,3
10 - 20,11,1
10 - 20,12,3
10 - 20,13,4
10 - 20,14,6
10 - 20,15,6
10 - 20,16,10
10 - 20,17,8
10 - 20,18,12
10 - 20,19,6
10 - 20,20,2
10 - 20,22,2
10 - 20,23,1
10 - 20,25,1
10 - 20,27,1
20 - 30,6,2
20 - 30,7,1
20 - 30,8,5
20 - 30,9,3
20 - 30,10,3
20 - 30,11,1
20 - 30,12,3
20 - 30,14,1
20 - 30,15,3
20 - 30,16,6
20 - 30,17,5
20 - 30,18,3
20 - 30,19,8
20 - 30,20,8
20 - 30,21,1
20 - 30,22,1
20 - 30,23,1
20 - 30,27,1
20 - 30,28,5
20 - 30,29,1
30 - 40,9,1
30 - 40,13,1
30 - 40,14,2
30 - 40,18,10
30 - 40,19,9
30 - 40,20,4
30 - 40,21,1
30 - 40,22,3
30 - 40,23,1
30 - 40,24,1
30 - 40,26,2
30 - 40,28,2
30 - 40,29,3
30 - 40,30,1
30 - 40,32,1
40 - 50,10,4
40 - 50,11,1
40 - 50,12,1
40 - 50,13,1
40 - 50,14,1
40 - 50,15,2
40 - 50,18,1
40 - 50,19,2
40 - 50,20,3
40 - 50,21,1
40 - 50,22,1
40 - 50,23,2
40 - 50,25,3
40 - 50,27,1
40 - 50,28,1
40 - 50,29,2
40 - 50,35,1
40 - 50,37,1
40 - 50,43,1
50 - 60,11,1
50 - 60,12,2
50 - 60,13,1
50 - 60,14,2
50 - 60,15,1
50 - 60,16,4
50 - 60,19,6
50 - 60,30,1
50 - 60,34,1
50 - 60,37,1
50 - 60,43,1
50 - 60,44,2
50 - 60,45,3
60 - 70,15,1
60 - 70,16,1
60 - 70,19,4
60 - 70,43,1
60 - 70,45,2
60 - 70,52,2
70 - 80,19,1
70 - 80,45,4
70 - 80,46,1
70 - 80,47,1
70 - 80,52,1
80 - 90,48,1
80 - 90,52,1
80 - 90,55,1
80 - 90,62,1
80 - 90,66,1
90 - 100,60,2
90 - 100,66,1
90 - 100,68,1
100 - 110,56,1
100 - 110,67,1
100 - 110,72,1
110 - 120,54,1
110 - 120,55,1
110 - 120,56,2
110 - 120,57,4
110 - 120,67,1
110 - 120,68,1
120 - 130,56,2
120 - 130,57,5
120 - 130,64,1
120 - 130,65,1
130 - 140,31,1
130 - 140,56,1
130 - 140,65,2
150 - 160,29,1
150 - 160,30,1
150 - 160,44,1
160 - 170,30,4
170 - 180,30,2
170 - 180,31,1
170 - 180,44,3
180 - 190,30,1
180 - 190,44,3
190 - 200,44,1
200 - 210,45,1
