Event size [GWh],event_duration,Count of event_size
0 - 10,1,218
0 - 10,2,137
0 - 10,3,113
0 - 10,4,108
0 - 10,5,97
0 - 10,6,79
0 - 10,7,45
0 - 10,8,47
0 - 10,9,20
0 - 10,10,24
0 - 10,11,18
0 - 10,12,4
0 - 10,13,6
0 - 10,14,11
0 - 10,15,6
0 - 10,16,7
0 - 10,17,2
0 - 10,18,9
0 - 10,19,4
0 - 10,21,1
10 - 20,4,3
10 - 20,5,7
10 - 20,6,8
10 - 20,7,6
10 - 20,8,19
10 - 20,9,11
10 - 20,10,2
10 - 20,11,2
10 - 20,12,3
10 - 20,13,5
10 - 20,14,12
10 - 20,15,6
10 - 20,16,10
10 - 20,17,5
10 - 20,18,7
10 - 20,19,4
10 - 20,20,1
10 - 20,21,2
10 - 20,22,3
10 - 20,28,1
20 - 30,5,2
20 - 30,7,2
20 - 30,8,6
20 - 30,9,2
20 - 30,10,5
20 - 30,11,2
20 - 30,16,2
20 - 30,17,4
20 - 30,18,10
20 - 30,19,8
20 - 30,20,3
20 - 30,21,4
20 - 30,22,3
20 - 30,23,2
20 - 30,28,6
20 - 30,29,1
20 - 30,30,1
20 - 30,32,1
20 - 30,33,1
30 - 40,7,1
30 - 40,8,3
30 - 40,10,1
30 - 40,11,1
30 - 40,13,1
30 - 40,14,3
30 - 40,17,1
30 - 40,18,5
30 - 40,19,5
30 - 40,20,1
30 - 40,21,3
30 - 40,22,2
30 - 40,23,1
30 - 40,24,1
30 - 40,25,2
30 - 40,28,1
30 - 40,31,1
30 - 40,33,2
30 - 40,34,2
30 - 40,36,1
40 - 50,7,1
40 - 50,8,1
40 - 50,9,3
40 - 50,10,3
40 - 50,11,1
40 - 50,17,3
40 - 50,18,4
40 - 50,19,3
40 - 50,20,1
40 - 50,21,1
40 - 50,22,3
40 - 50,23,3
40 - 50,25,1
40 - 50,33,1
40 - 50,34,1
40 - 50,37,1
50 - 60,9,3
50 - 60,10,2
50 - 60,14,1
50 - 60,15,1
50 - 60,18,2
50 - 60,19,4
50 - 60,33,1
50 - 60,34,1
50 - 60,36,1
50 - 60,53,1
60 - 70,18,1
60 - 70,34,3
60 - 70,35,1
60 - 70,36,2
60 - 70,42,1
60 - 70,55,1
60 - 70,64,1
70 - 80,19,3
70 - 80,34,1
70 - 80,36,3
70 - 80,39,1
70 - 80,42,1
70 - 80,43,1
70 - 80,44,1
70 - 80,45,1
70 - 80,47,1
70 - 80,54,1
80 - 90,18,1
80 - 90,37,1
80 - 90,44,1
80 - 90,47,1
80 - 90,66,1
90 - 100,19,1
90 - 100,46,1
90 - 100,55,2
90 - 100,56,2
90 - 100,64,1
100 - 110,53,1
100 - 110,55,2
100 - 110,56,2
100 - 110,57,1
100 - 110,66,1
110 - 120,56,1
110 - 120,65,1
130 - 140,29,1
140 - 150,28,1
140 - 150,29,2
140 - 150,30,1
140 - 150,31,1
150 - 160,29,1
150 - 160,30,3
160 - 170,30,1
160 - 170,44,1
170 - 180,44,2
180 - 190,44,3
190 - 200,44,2
210 - 220,44,1
