Weather Scenario,Year,EVA category 1,Average of Value
WS21,2035,Gas CCGT 44,1117.2
WS22,2035,Gas CCGT 44,1068.4
WS23,2035,Gas CCGT 44,1214.8
WS24,2035,Gas CCGT 44,977.8
WS25,2035,Gas CCGT 44,1280.1
WS26,2035,Gas CCGT 44,1070.1
WS27,2035,Gas CCGT 44,1084.3
WS28,2035,Gas CCGT 44,1115.8
WS29,2035,Gas CCGT 44,1028.7
WS30,2035,Gas CCGT 44,1010.0
WS31,2035,Gas CCGT 44,1116.8
WS32,2035,Gas CCGT 44,1368.0
WS33,2035,Gas CCGT 44,1063.0
WS34,2035,Gas CCGT 44,975.3
WS35,2035,Gas CCGT 44,987.0
WS36,2035,Gas CCGT 44,1070.2
WS01,2028,Gas CCGT 52,1256.6
WS02,2028,Gas CCGT 52,1129.4
WS03,2028,Gas CCGT 52,907.7
WS04,2028,Gas CCGT 52,1291.3
WS05,2028,Gas CCGT 52,1692.0
WS06,2028,Gas CCGT 52,1199.7
WS07,2028,Gas CCGT 52,1261.5
WS08,2028,Gas CCGT 52,612.1
WS09,2028,Gas CCGT 52,1001.5
WS10,2028,Gas CCGT 52,1189.7
WS11,2028,Gas CCGT 52,1141.0
WS12,2028,Gas CCGT 52,992.5
WS13,2028,Gas CCGT 52,1227.4
WS14,2028,Gas CCGT 52,943.1
WS15,2028,Gas CCGT 52,1486.9
WS16,2028,Gas CCGT 52,806.4
WS17,2028,Gas CCGT 52,1480.3
WS18,2028,Gas CCGT 52,1364.2
WS19,2028,Gas CCGT 52,1625.7
WS20,2028,Gas CCGT 52,647.8
WS21,2028,Gas CCGT 52,942.6
WS22,2028,Gas CCGT 52,843.9
WS23,2028,Gas CCGT 52,1319.9
WS24,2028,Gas CCGT 52,962.0
WS25,2028,Gas CCGT 52,1569.9
WS26,2028,Gas CCGT 52,997.4
WS27,2028,Gas CCGT 52,1090.8
WS28,2028,Gas CCGT 52,1436.2
WS29,2028,Gas CCGT 52,1101.1
WS30,2028,Gas CCGT 52,1070.8
WS31,2028,Gas CCGT 52,1291.8
WS32,2028,Gas CCGT 52,1490.9
WS33,2028,Gas CCGT 52,1013.0
WS34,2028,Gas CCGT 52,784.7
WS35,2028,Gas CCGT 52,1052.5
WS36,2028,Gas CCGT 52,924.6
WS01,2030,Gas CCGT 52,1651.5
WS02,2030,Gas CCGT 52,1513.5
WS03,2030,Gas CCGT 52,1248.1
WS04,2030,Gas CCGT 52,1990.6
WS05,2030,Gas CCGT 52,2002.9
WS06,2030,Gas CCGT 52,1555.1
WS07,2030,Gas CCGT 52,1625.3
WS08,2030,Gas CCGT 52,893.7
WS09,2030,Gas CCGT 52,1442.6
WS10,2030,Gas CCGT 52,1564.7
WS11,2030,Gas CCGT 52,1452.7
WS12,2030,Gas CCGT 52,1389.9
WS13,2030,Gas CCGT 52,1585.3
WS14,2030,Gas CCGT 52,1413.7
WS15,2030,Gas CCGT 52,1789.6
WS16,2030,Gas CCGT 52,1225.6
WS17,2030,Gas CCGT 52,1827.3
WS18,2030,Gas CCGT 52,1773.9
WS19,2030,Gas CCGT 52,1921.4
WS20,2030,Gas CCGT 52,1074.9
WS21,2030,Gas CCGT 52,1306.2
WS22,2030,Gas CCGT 52,1299.0
WS23,2030,Gas CCGT 52,1754.1
WS24,2030,Gas CCGT 52,1298.4
WS25,2030,Gas CCGT 52,1977.0
WS26,2030,Gas CCGT 52,1376.9
WS27,2030,Gas CCGT 52,1462.7
WS28,2030,Gas CCGT 52,1790.7
WS29,2030,Gas CCGT 52,1633.2
WS30,2030,Gas CCGT 52,1556.9
WS31,2030,Gas CCGT 52,1664.3
WS32,2030,Gas CCGT 52,1847.9
WS33,2030,Gas CCGT 52,1325.7
WS34,2030,Gas CCGT 52,1108.5
WS35,2030,Gas CCGT 52,1437.2
WS36,2030,Gas CCGT 52,1339.8
WS01,2033,Gas CCGT 52,1311.6
WS02,2033,Gas CCGT 52,1153.3
WS03,2033,Gas CCGT 52,958.5
WS04,2033,Gas CCGT 52,1429.7
WS05,2033,Gas CCGT 52,1578.0
WS06,2033,Gas CCGT 52,1253.8
WS07,2033,Gas CCGT 52,1299.8
WS08,2033,Gas CCGT 52,594.9
WS09,2033,Gas CCGT 52,1114.3
WS10,2033,Gas CCGT 52,1237.2
WS11,2033,Gas CCGT 52,1173.1
WS12,2033,Gas CCGT 52,971.7
WS13,2033,Gas CCGT 52,1265.5
WS14,2033,Gas CCGT 52,1078.8
WS15,2033,Gas CCGT 52,1370.9
WS16,2033,Gas CCGT 52,1036.7
WS17,2033,Gas CCGT 52,1499.2
WS18,2033,Gas CCGT 52,1314.9
WS19,2033,Gas CCGT 52,1551.2
WS20,2033,Gas CCGT 52,718.6
WS21,2033,Gas CCGT 52,1024.3
WS22,2033,Gas CCGT 52,1026.0
WS23,2033,Gas CCGT 52,1417.8
WS24,2033,Gas CCGT 52,995.7
WS25,2033,Gas CCGT 52,1604.6
WS26,2033,Gas CCGT 52,1014.3
WS27,2033,Gas CCGT 52,1121.1
WS28,2033,Gas CCGT 52,1376.1
WS29,2033,Gas CCGT 52,1308.2
WS30,2033,Gas CCGT 52,1198.2
WS31,2033,Gas CCGT 52,1365.2
WS32,2033,Gas CCGT 52,1547.6
WS33,2033,Gas CCGT 52,1048.4
WS34,2033,Gas CCGT 52,793.4
WS35,2033,Gas CCGT 52,1164.4
WS36,2033,Gas CCGT 52,1022.7
WS01,2035,Gas CCGT 52,805.1
WS02,2035,Gas CCGT 52,769.4
WS03,2035,Gas CCGT 52,621.9
WS04,2035,Gas CCGT 52,798.4
WS05,2035,Gas CCGT 52,1141.9
WS06,2035,Gas CCGT 52,837.9
WS07,2035,Gas CCGT 52,856.8
WS08,2035,Gas CCGT 52,320.7
WS09,2035,Gas CCGT 52,743.6
WS10,2035,Gas CCGT 52,758.8
WS11,2035,Gas CCGT 52,693.6
WS12,2035,Gas CCGT 52,594.9
WS13,2035,Gas CCGT 52,882.6
WS14,2035,Gas CCGT 52,661.9
WS15,2035,Gas CCGT 52,899.4
WS16,2035,Gas CCGT 52,741.7
WS17,2035,Gas CCGT 52,1111.4
WS18,2035,Gas CCGT 52,810.2
WS19,2035,Gas CCGT 52,986.0
WS20,2035,Gas CCGT 52,435.8
WS21,2035,Gas CCGT 52,761.6
WS22,2035,Gas CCGT 52,690.2
WS23,2035,Gas CCGT 52,1001.5
WS24,2035,Gas CCGT 52,563.9
WS25,2035,Gas CCGT 52,1204.3
WS26,2035,Gas CCGT 52,718.0
WS27,2035,Gas CCGT 52,699.8
WS28,2035,Gas CCGT 52,883.6
WS29,2035,Gas CCGT 52,857.1
WS30,2035,Gas CCGT 52,701.5
WS31,2035,Gas CCGT 52,889.8
WS32,2035,Gas CCGT 52,1209.9
WS33,2035,Gas CCGT 52,720.9
WS34,2035,Gas CCGT 52,458.7
WS35,2035,Gas CCGT 52,685.4
WS36,2035,Gas CCGT 52,703.5
WS01,2028,Gas CCGT 58,2144.3
WS02,2028,Gas CCGT 58,2009.8
WS03,2028,Gas CCGT 58,1573.3
WS04,2028,Gas CCGT 58,2145.4
WS05,2028,Gas CCGT 58,2643.9
WS06,2028,Gas CCGT 58,1946.8
WS07,2028,Gas CCGT 58,2102.0
WS08,2028,Gas CCGT 58,1176.4
WS09,2028,Gas CCGT 58,1807.7
WS10,2028,Gas CCGT 58,2207.9
WS11,2028,Gas CCGT 58,1968.3
WS12,2028,Gas CCGT 58,1780.5
WS13,2028,Gas CCGT 58,1984.5
WS14,2028,Gas CCGT 58,1654.1
WS15,2028,Gas CCGT 58,2233.8
WS16,2028,Gas CCGT 58,1506.1
WS17,2028,Gas CCGT 58,2237.9
WS18,2028,Gas CCGT 58,2299.7
WS19,2028,Gas CCGT 58,2497.5
WS20,2028,Gas CCGT 58,1281.0
WS21,2028,Gas CCGT 58,1637.5
WS22,2028,Gas CCGT 58,1586.2
WS23,2028,Gas CCGT 58,2155.7
WS24,2028,Gas CCGT 58,1774.7
WS25,2028,Gas CCGT 58,2576.5
WS26,2028,Gas CCGT 58,1692.2
WS27,2028,Gas CCGT 58,1964.7
WS28,2028,Gas CCGT 58,2408.3
WS29,2028,Gas CCGT 58,2049.1
WS30,2028,Gas CCGT 58,1937.3
WS31,2028,Gas CCGT 58,2245.7
WS32,2028,Gas CCGT 58,2250.5
WS33,2028,Gas CCGT 58,1691.1
WS34,2028,Gas CCGT 58,1417.6
WS35,2028,Gas CCGT 58,1915.4
WS36,2028,Gas CCGT 58,1669.6
WS01,2030,Gas CCGT 58,2224.0
WS02,2030,Gas CCGT 58,2048.0
WS03,2030,Gas CCGT 58,1719.0
WS04,2030,Gas CCGT 58,2729.6
WS05,2030,Gas CCGT 58,2652.6
WS06,2030,Gas CCGT 58,2137.1
WS07,2030,Gas CCGT 58,2199.4
WS08,2030,Gas CCGT 58,1250.4
WS09,2030,Gas CCGT 58,1995.0
WS10,2030,Gas CCGT 58,2246.7
WS11,2030,Gas CCGT 58,2014.6
