Scenario,Object A,Object B,Probability
TY2030L,BE00,FR00,0.736050461
TY2030L,BE00,NL00,0.865114022
TY2030L,BE00,NOS2,0.004852014
TY2030L,BE00,UK00,0.161572052
TY2030L,DE00,BE00,0.357783357
TY2030L,DE00,DE00,1
TY2030L,DE00,DKW1,0.953909613
TY2030L,DE00,FR00,0.299318508
TY2030L,DE00,NL00,0.452116212
TY2030L,DE00,NOS2,0.025107604
TY2030L,DE00,UK00,0.090208034
TY2030L,DKW1,BE00,0.308514082
TY2030L,DKW1,DE00,0.860958239
TY2030L,DKW1,DKW1,1
TY2030L,DKW1,FR00,0.253480091
TY2030L,DKW1,NL00,0.402395597
TY2030L,DKW1,NOS2,0.024117837
TY2030L,DKW1,UK00,0.080608611
TY2030L,FR00,BE00,0.812968917
TY2030L,FR00,DE00,0.894426581
TY2030L,FR00,DKW1,0.839228296
TY2030L,FR00,FR00,1
TY2030L,FR00,NL00,0.771168274
TY2030L,FR00,NOS2,0.003215434
TY2030L,FR00,UK00,0.172561629
TY2030L,NL00,BE00,0.683403603
TY2030L,NL00,DE00,0.966270602
TY2030L,NL00,DKW1,0.9528555
TY2030L,NL00,FR00,0.551552319
TY2030L,NL00,NL00,1
TY2030L,NL00,NOS2,0.010348793
TY2030L,NL00,UK00,0.158681487
TY2030L,NOS2,BE00,0.067114094
TY2030L,NOS2,DE00,0.939597315
TY2030L,NOS2,DKW1,1
TY2030L,NOS2,FR00,0.040268456
TY2030L,NOS2,NL00,0.181208054
TY2030L,NOS2,NOS2,1
TY2030L,NOS2,UK00,0
TY2030L,UK00,BE00,0.514683153
TY2030L,UK00,DE00,0.777434312
TY2030L,UK00,DKW1,0.769706337
TY2030L,UK00,FR00,0.497681607
TY2030L,UK00,NL00,0.639876352
TY2030L,UK00,NOS2,0
TY2030L,UK00,UK00,1
TY2033,BE00,BE00,1
TY2033,BE00,DE00,0.974977298
TY2033,BE00,DKW1,0.955302189
TY2033,BE00,FR00,0.330844516
TY2033,BE00,NL00,0.978710524
TY2033,BE00,NOS2,0.026435274
TY2033,BE00,UK00,0.116133589
TY2033,DE00,BE00,0.843782745
TY2033,DE00,DE00,1
TY2033,DE00,DKW1,0.962451973
TY2033,DE00,FR00,0.313133077
TY2033,DE00,NL00,0.95511701
TY2033,DE00,NOS2,0.035801607
TY2033,DE00,UK00,0.099982536
TY2033,DKW1,BE00,0.837876106
TY2033,DKW1,DE00,0.97539823
TY2033,DKW1,DKW1,1
TY2033,DKW1,FR00,0.310088496
TY2033,DKW1,NL00,0.947787611
TY2033,DKW1,NOS2,0.038141593
TY2033,DKW1,UK00,0.101061947
TY2033,FR00,BE00,0.873003195
TY2033,FR00,DE00,0.954739084
TY2033,FR00,DKW1,0.932907348
TY2033,FR00,FR00,1
TY2033,FR00,NL00,0.944089457
TY2033,FR00,NOS2,0.025292865
TY2033,FR00,UK00,0.156017039
TY2033,NL00,BE00,0.864681761
TY2033,NL00,DE00,0.975040114
TY2033,NL00,DKW1,0.954715636
TY2033,NL00,FR00,0.316099126
TY2033,NL00,NL00,1
TY2033,NL00,NOS2,0.033339276
TY2033,NL00,UK00,0.105455518
TY2033,NOS2,BE00,0.567099567
TY2033,NOS2,DE00,0.887445887
TY2033,NOS2,DKW1,0.932900433
TY2033,NOS2,FR00,0.205627706
TY2033,NOS2,NL00,0.80952381
TY2033,NOS2,NOS2,1
TY2033,NOS2,UK00,0.04978355
TY2033,UK00,BE00,0.80377095
TY2033,UK00,DE00,0.799581006
TY2033,UK00,DKW1,0.797486034
TY2033,UK00,FR00,0.409217877
TY2033,UK00,NL00,0.826117318
TY2033,UK00,NOS2,0.016061453
TY2033,UK00,UK00,1
TY2033L,BE00,BE00,1
TY2033L,BE00,DE00,0.988407924
TY2033L,BE00,DKW1,0.971973588
TY2033L,BE00,FR00,0.370652971
TY2033L,BE00,NL00,0.900660308
TY2033L,BE00,NOS2,0.026559061
TY2033L,BE00,UK00,0.126338958
TY2033L,DE00,BE00,0.860720675
TY2033L,DE00,DE00,1
TY2033L,DE00,DKW1,0.970227447
TY2033L,DE00,FR00,0.351520572
TY2033L,DE00,NL00,0.859570662
TY2033L,DE00,NOS2,0.03973933
TY2033L,DE00,UK00,0.111040123
TY2033L,DKW1,BE00,0.855813953
TY2033L,DKW1,DE00,0.981007752
TY2033L,DKW1,DKW1,1
TY2033L,DKW1,FR00,0.343927649
TY2033L,DKW1,NL00,0.854392765
TY2033L,DKW1,NOS2,0.040180879
TY2033L,DKW1,UK00,0.108397933
TY2033L,FR00,BE00,0.892264218
TY2033L,FR00,DE00,0.971741434
TY2033L,FR00,DKW1,0.94030378
TY2033L,FR00,FR00,1
TY2033L,FR00,NL00,0.813846697
TY2033L,FR00,NOS2,0.018368068
TY2033L,FR00,UK00,0.171317556
TY2033L,NL00,BE00,0.902647059
TY2033L,NL00,DE00,0.989264706
TY2033L,NL00,DKW1,0.9725
TY2033L,NL00,FR00,0.338823529
TY2033L,NL00,NL00,1
TY2033L,NL00,NOS2,0.028235294
TY2033L,NL00,UK00,0.125294118
TY2033L,NOS2,BE00,0.550151976
TY2033L,NOS2,DE00,0.945288754
TY2033L,NOS2,DKW1,0.945288754
TY2033L,NOS2,FR00,0.158054711
TY2033L,NOS2,NL00,0.583586626
TY2033L,NOS2,NOS2,1
TY2033L,NOS2,UK00,0.012158055
TY2033L,UK00,BE00,0.769436997
TY2033L,UK00,DE00,0.776586238
TY2033L,UK00,DKW1,0.749776586
TY2033L,UK00,FR00,0.433422699
TY2033L,UK00,NL00,0.761394102
TY2033L,UK00,NOS2,0.00357462
TY2033L,UK00,UK00,1
TY2035,BE00,BE00,1
TY2035,BE00,DE00,0.980589866
TY2035,BE00,DKW1,0.941433493
TY2035,BE00,FR00,0.388286699
TY2035,BE00,NL00,0.993950088
TY2035,BE00,NOS2,0
TY2035,BE00,UK00,0.106713722
TY2035,DE00,BE00,0.705946404
TY2035,DE00,DE00,1
TY2035,DE00,DKW1,0.948883915
TY2035,DE00,FR00,0.304095336
TY2035,DE00,NL00,0.97991652
TY2035,DE00,NOS2,0
TY2035,DE00,UK00,0.078398161
TY2035,DKW1,BE00,0.703459534
TY2035,DKW1,DE00,0.984868462
TY2035,DKW1,DKW1,1
TY2035,DKW1,FR00,0.294908018
TY2035,DKW1,NL00,0.975952785
TY2035,DKW1,NOS2,0
TY2035,DKW1,UK00,0.081873548
TY2035,FR00,BE00,0.893637594
TY2035,FR00,DE00,0.972152388
TY2035,FR00,DKW1,0.908334945
TY2035,FR00,FR00,1
TY2035,FR00,NL00,0.984722491
TY2035,FR00,NOS2,0
TY2035,FR00,UK00,0.119706053
TY2035,NL00,BE00,0.713665158
TY2035,NL00,DE00,0.977315234
TY2035,NL00,DKW1,0.937797888
TY2035,NL00,FR00,0.307209653
TY2035,NL00,NL00,1
TY2035,NL00,NOS2,0
TY2035,NL00,UK00,0.080301659
TY2035,NOS2,BE00,
TY2035,NOS2,DE00,
TY2035,NOS2,DKW1,
TY2035,NOS2,FR00,
TY2035,NOS2,NL00,
TY2035,NOS2,NOS2,
TY2035,NOS2,UK00,
TY2035,UK00,BE00,0.843293493
TY2035,UK00,DE00,0.860557769
TY2035,UK00,DKW1,0.865869854
TY2035,UK00,FR00,0.411022576
TY2035,UK00,NL00,0.883798141
TY2035,UK00,NOS2,0
TY2035,UK00,UK00,1
TY2035L,BE00,BE00,1
TY2035L,BE00,DE00,0.994952862
