Event size [GWh],event_duration,Count of event_size
0 - 2,1,21
0 - 2,2,7
0 - 2,3,1
0 - 2,4,3
0 - 2,5,1
2 - 4,2,3
2 - 4,3,1
2 - 4,4,4
2 - 4,5,1
2 - 4,6,3
2 - 4,7,3
4 - 6,4,3
4 - 6,5,4
4 - 6,6,1
4 - 6,7,3
6 - 8,4,1
6 - 8,5,4
6 - 8,6,1
6 - 8,7,3
8 - 10,5,1
8 - 10,6,1
8 - 10,9,1
10 - 12,5,1
10 - 12,6,1
10 - 12,10,1
12 - 14,9,2
12 - 14,10,1
16 - 18,10,1
20 - 22,9,1
