Weather Scenario,Year,EVA category 1,Average of Value
WS21,2035,Gas CCGT 44,1154.8
WS22,2035,Gas CCGT 44,1131.7
WS23,2035,Gas CCGT 44,1284.2
WS24,2035,Gas CCGT 44,1007.8
WS25,2035,Gas CCGT 44,1363.3
WS26,2035,Gas CCGT 44,1115.3
WS27,2035,Gas CCGT 44,1123.3
WS28,2035,Gas CCGT 44,1186.7
WS29,2035,Gas CCGT 44,1083.4
WS30,2035,Gas CCGT 44,1038.0
WS31,2035,Gas CCGT 44,1161.8
WS32,2035,Gas CCGT 44,1415.3
WS33,2035,Gas CCGT 44,1097.6
WS34,2035,Gas CCGT 44,995.0
WS35,2035,Gas CCGT 44,1018.5
WS36,2035,Gas CCGT 44,1107.7
WS01,2028,Gas CCGT 52,1445.9
WS02,2028,Gas CCGT 52,1313.0
WS03,2028,Gas CCGT 52,1085.2
WS04,2028,Gas CCGT 52,1553.0
WS05,2028,Gas CCGT 52,1956.8
WS06,2028,Gas CCGT 52,1389.7
WS07,2028,Gas CCGT 52,1485.8
WS08,2028,Gas CCGT 52,756.6
WS09,2028,Gas CCGT 52,1199.6
WS10,2028,Gas CCGT 52,1435.1
WS11,2028,Gas CCGT 52,1344.3
WS12,2028,Gas CCGT 52,1187.1
WS13,2028,Gas CCGT 52,1420.9
WS14,2028,Gas CCGT 52,1133.5
WS15,2028,Gas CCGT 52,1676.9
WS16,2028,Gas CCGT 52,1021.6
WS17,2028,Gas CCGT 52,1711.8
WS18,2028,Gas CCGT 52,1559.6
WS19,2028,Gas CCGT 52,1832.6
WS20,2028,Gas CCGT 52,845.8
WS21,2028,Gas CCGT 52,1108.9
WS22,2028,Gas CCGT 52,1046.8
WS23,2028,Gas CCGT 52,1524.7
WS24,2028,Gas CCGT 52,1137.3
WS25,2028,Gas CCGT 52,1848.7
WS26,2028,Gas CCGT 52,1220.0
WS27,2028,Gas CCGT 52,1288.8
WS28,2028,Gas CCGT 52,1665.3
WS29,2028,Gas CCGT 52,1369.0
WS30,2028,Gas CCGT 52,1278.5
WS31,2028,Gas CCGT 52,1488.7
WS32,2028,Gas CCGT 52,1695.3
WS33,2028,Gas CCGT 52,1224.8
WS34,2028,Gas CCGT 52,972.8
WS35,2028,Gas CCGT 52,1262.8
WS36,2028,Gas CCGT 52,1101.7
WS01,2030,Gas CCGT 52,1812.9
WS02,2030,Gas CCGT 52,1668.1
WS03,2030,Gas CCGT 52,1419.6
WS04,2030,Gas CCGT 52,2221.5
WS05,2030,Gas CCGT 52,2157.5
WS06,2030,Gas CCGT 52,1738.2
WS07,2030,Gas CCGT 52,1785.6
WS08,2030,Gas CCGT 52,1020.0
WS09,2030,Gas CCGT 52,1608.5
WS10,2030,Gas CCGT 52,1747.9
WS11,2030,Gas CCGT 52,1620.0
WS12,2030,Gas CCGT 52,1562.7
WS13,2030,Gas CCGT 52,1762.7
WS14,2030,Gas CCGT 52,1595.5
WS15,2030,Gas CCGT 52,1959.4
WS16,2030,Gas CCGT 52,1404.7
WS17,2030,Gas CCGT 52,2014.0
WS18,2030,Gas CCGT 52,1930.6
WS19,2030,Gas CCGT 52,2068.8
WS20,2030,Gas CCGT 52,1269.2
WS21,2030,Gas CCGT 52,1455.0
WS22,2030,Gas CCGT 52,1485.3
WS23,2030,Gas CCGT 52,1926.0
WS24,2030,Gas CCGT 52,1446.7
WS25,2030,Gas CCGT 52,2166.0
WS26,2030,Gas CCGT 52,1557.5
WS27,2030,Gas CCGT 52,1609.5
WS28,2030,Gas CCGT 52,1940.5
WS29,2030,Gas CCGT 52,1851.7
WS30,2030,Gas CCGT 52,1741.9
WS31,2030,Gas CCGT 52,1806.6
WS32,2030,Gas CCGT 52,2009.6
WS33,2030,Gas CCGT 52,1487.3
WS34,2030,Gas CCGT 52,1272.1
WS35,2030,Gas CCGT 52,1616.3
WS36,2030,Gas CCGT 52,1527.3
WS01,2033,Gas CCGT 52,1655.7
WS02,2033,Gas CCGT 52,1423.7
WS03,2033,Gas CCGT 52,1264.9
WS04,2033,Gas CCGT 52,1839.2
WS05,2033,Gas CCGT 52,1920.1
WS06,2033,Gas CCGT 52,1598.8
WS07,2033,Gas CCGT 52,1638.6
WS08,2033,Gas CCGT 52,891.9
WS09,2033,Gas CCGT 52,1454.4
