Event size [GWh],event_duration,Count of event_size
0 - 10,1,4
0 - 10,2,3
0 - 10,3,9
0 - 10,4,6
0 - 10,5,3
0 - 10,8,1
0 - 10,9,1
0 - 10,10,2
0 - 10,11,3
10 - 20,11,2
10 - 20,16,1
