Event size [GWh],event_duration,Count of event_size
0 - 2,1,305
0 - 2,2,116
0 - 2,3,56
0 - 2,4,31
0 - 2,5,23
0 - 2,6,8
0 - 2,7,4
0 - 2,17,1
2 - 4,1,4
2 - 4,2,9
2 - 4,3,8
2 - 4,4,17
2 - 4,5,8
2 - 4,6,7
2 - 4,7,4
2 - 4,8,5
2 - 4,13,1
4 - 6,2,3
4 - 6,3,6
4 - 6,4,4
4 - 6,5,11
4 - 6,6,3
4 - 6,7,3
4 - 6,8,2
4 - 6,9,1
6 - 8,4,4
6 - 8,5,3
6 - 8,6,1
6 - 8,7,2
6 - 8,8,1
8 - 10,5,3
8 - 10,6,2
8 - 10,7,4
10 - 12,6,2
10 - 12,7,1
10 - 12,8,1
10 - 12,9,1
12 - 14,6,3
12 - 14,7,2
12 - 14,8,1
12 - 14,9,4
12 - 14,10,2
12 - 14,11,1
12 - 14,12,1
14 - 16,6,1
14 - 16,8,3
14 - 16,10,2
14 - 16,14,1
16 - 18,6,1
16 - 18,8,4
16 - 18,9,2
16 - 18,10,3
16 - 18,11,1
16 - 18,12,1
18 - 20,6,1
18 - 20,8,1
18 - 20,9,1
18 - 20,10,1
18 - 20,13,1
20 - 22,8,1
20 - 22,9,1
22 - 24,8,1
22 - 24,19,1
24 - 26,19,1
26 - 28,19,1
28 - 30,11,1
28 - 30,19,1
30 - 32,17,1
32 - 34,18,1
34 - 36,18,1
36 - 38,19,1
38 - 40,19,1
48 - 50,18,1
48 - 50,21,1
50 - 52,18,1
50 - 52,30,1
54 - 56,18,2
54 - 56,19,1
54 - 56,30,1
56 - 58,29,1
56 - 58,30,1
58 - 60,30,1
60 - 62,18,1
60 - 62,19,2
60 - 62,30,1
64 - 66,30,1
68 - 70,19,1
76 - 78,19,1
82 - 84,30,1
