Load,Native Load,WeekHour
14.2,13.7,1
13.9,13.3,2
13.7,13.1,3
13.8,13.1,4
13.8,13.3,5
14.9,14.5,6
15.5,15.2,7
17.9,17.6,8
19.8,19.3,9
20.9,20.0,10
22.0,20.2,11
22.7,19.9,12
23.2,20.0,13
23.2,20.1,14
22.1,19.9,15
20.3,19.1,16
18.7,18.2,17
18.2,18.0,18
18.0,17.9,19
17.6,17.5,20
16.8,16.6,21
15.7,15.4,22
16.3,16.0,23
15.8,15.4,24
15.3,14.9,25
15.0,14.4,26
14.8,14.2,27
14.9,14.2,28
14.9,14.4,29
15.3,14.9,30
15.9,15.6,31
18.2,18.0,32
20.2,19.8,33
21.1,20.3,34
22.2,20.4,35
22.9,20.0,36
23.5,20.0,37
23.4,20.1,38
22.2,19.9,39
20.3,19.1,40
18.6,18.0,41
18.0,17.8,42
17.9,17.7,43
17.6,17.4,44
16.9,16.7,45
15.6,15.4,46
16.3,16.1,47
15.8,15.5,48
15.4,14.9,49
14.9,14.4,50
14.8,14.1,51
14.8,14.1,52
14.8,14.2,53
15.2,14.9,54
15.8,15.5,55
18.2,18.0,56
20.2,19.8,57
21.0,20.2,58
22.1,20.3,59
22.8,19.9,60
23.4,20.0,61
23.3,20.1,62
22.1,19.9,63
20.3,19.2,64
18.7,18.2,65
18.1,17.9,66
17.9,17.7,67
17.5,17.4,68
16.8,16.6,69
15.6,15.4,70
16.4,16.1,71
15.9,15.6,72
15.4,14.9,73
15.0,14.4,74
14.8,14.1,75
14.9,14.1,76
14.9,14.2,77
15.3,14.9,78
15.9,15.6,79
18.3,18.0,80
20.3,19.9,81
21.3,20.4,82
22.3,20.5,83
23.0,20.1,84
23.5,20.1,85
23.4,20.2,86
22.2,20.0,87
20.4,19.2,88
18.7,18.2,89
18.2,18.0,90
18.1,17.9,91
17.7,17.6,92
17.1,16.9,93
15.8,15.6,94
16.5,16.2,95
15.9,15.6,96
15.5,15.0,97
15.0,14.5,98
14.9,14.2,99
14.9,14.2,100
14.9,14.3,101
15.3,14.9,102
15.7,15.4,103
17.8,17.5,104
19.5,19.1,105
20.6,19.8,106
21.7,19.9,107
22.4,19.6,108
22.8,19.5,109
22.7,19.5,110
21.5,19.1,111
19.5,18.3,112
18.2,17.6,113
17.6,17.3,114
17.3,17.1,115
16.9,16.8,116
16.3,16.0,117
15.3,15.1,118
16.3,16.0,119
15.8,15.5,120
15.3,14.9,121
14.8,14.3,122
14.5,14.0,123
14.5,13.9,124
14.5,13.8,125
14.3,13.6,126
15.2,14.6,127
16.7,16.1,128
18.4,17.5,129
19.9,18.6,130
21.4,19.2,131
22.4,19.3,132
22.8,19.2,133
22.6,19.0,134
21.5,18.8,135
20.0,18.5,136
19.2,18.5,137
18.6,18.2,138
18.2,17.9,139
17.8,17.4,140
17.2,16.8,141
16.6,16.2,142
16.0,15.6,143
15.0,14.6,144
14.6,14.1,145
14.3,13.7,146
13.9,13.3,147
13.9,13.1,148
13.8,13.0,149
14.0,13.3,150
14.5,13.8,151
15.4,14.6,152
16.6,15.5,153
18.0,16.3,154
19.5,16.9,155
20.7,17.3,156
21.3,17.5,157
21.2,17.4,158
20.1,17.4,159
18.8,17.3,160
18.4,17.6,161
18.2,17.7,162
17.9,17.6,163
17.5,17.3,164
17.0,16.7,165
16.4,16.0,166
15.7,15.3,167
14.6,14.3,168
