WeatherScenario,Iteration,Sum of ENShours
WS27,Sample 4,0
WS27,Sample 5,0
WS27,Sample 6,0
WS27,Sample 7,0
WS27,Sample 8,0
WS27,Sample 9,0
WS28,Sample 1,0
WS28,Sample 10,0
WS28,Sample 2,0
WS28,Sample 3,0
WS28,Sample 4,0
WS28,Sample 5,0
WS28,Sample 6,0
WS28,Sample 7,0
WS28,Sample 8,0
WS28,Sample 9,0
WS29,Sample 1,0
WS29,Sample 10,0
WS29,Sample 2,0
WS29,Sample 3,0
WS29,Sample 4,0
WS29,Sample 5,0
WS29,Sample 6,0
WS29,Sample 7,0
WS29,Sample 8,0
WS29,Sample 9,0
WS30,Sample 1,0
WS30,Sample 10,0
WS30,Sample 2,0
WS30,Sample 3,0
WS30,Sample 4,0
WS30,Sample 5,0
WS30,Sample 6,0
WS30,Sample 7,0
WS30,Sample 8,0
WS30,Sample 9,0
WS31,Sample 1,0
WS31,Sample 10,0
WS31,Sample 2,0
WS31,Sample 3,0
WS31,Sample 4,0
WS31,Sample 5,0
WS31,Sample 6,0
WS31,Sample 7,0
WS31,Sample 8,0
WS31,Sample 9,0
WS32,Sample 1,22
WS32,Sample 10,25
WS32,Sample 2,21
WS32,Sample 3,22
WS32,Sample 4,26
WS32,Sample 5,24
WS32,Sample 6,23
WS32,Sample 7,28
WS32,Sample 8,23
WS32,Sample 9,22
WS33,Sample 1,0
WS33,Sample 10,0
WS33,Sample 2,0
WS33,Sample 3,0
WS33,Sample 4,0
WS33,Sample 5,0
WS33,Sample 6,0
WS33,Sample 7,0
WS33,Sample 8,0
WS33,Sample 9,0
WS34,Sample 1,0
WS34,Sample 10,0
WS34,Sample 2,0
WS34,Sample 3,0
WS34,Sample 4,0
WS34,Sample 5,0
WS34,Sample 6,0
WS34,Sample 7,0
WS34,Sample 8,0
WS34,Sample 9,0
WS35,Sample 1,0
WS35,Sample 10,0
WS35,Sample 2,0
WS35,Sample 3,0
WS35,Sample 4,0
WS35,Sample 5,0
WS35,Sample 6,0
WS35,Sample 7,0
WS35,Sample 8,0
WS35,Sample 9,0
WS36,Sample 1,0
WS36,Sample 10,0
WS36,Sample 2,0
WS36,Sample 3,0
WS36,Sample 4,0
WS36,Sample 5,0
WS36,Sample 6,0
WS36,Sample 7,0
WS36,Sample 8,0
WS36,Sample 9,0
