WeatherScenario,Iteration,Sum of ENShours
WS01,Sample 1,2
WS01,Sample 10,0
WS01,Sample 2,0
WS01,Sample 3,0
WS01,Sample 4,0
WS01,Sample 5,0
WS01,Sample 6,0
WS01,Sample 7,0
WS01,Sample 8,0
WS01,Sample 9,0
WS02,Sample 1,0
WS02,Sample 10,0
WS02,Sample 2,0
WS02,Sample 3,0
WS02,Sample 4,0
WS02,Sample 5,0
WS02,Sample 6,0
WS02,Sample 7,0
WS02,Sample 8,0
WS02,Sample 9,0
WS03,Sample 1,17
WS03,Sample 10,16
WS03,Sample 2,15
WS03,Sample 3,17
WS03,Sample 4,16
WS03,Sample 5,18
WS03,Sample 6,16
WS03,Sample 7,15
WS03,Sample 8,18
WS03,Sample 9,17
WS04,Sample 1,0
WS04,Sample 10,0
WS04,Sample 2,0
WS04,Sample 3,0
WS04,Sample 4,0
WS04,Sample 5,0
WS04,Sample 6,0
WS04,Sample 7,0
WS04,Sample 8,0
WS04,Sample 9,0
WS05,Sample 1,11
WS05,Sample 10,19
WS05,Sample 2,33
WS05,Sample 3,18
WS05,Sample 4,21
WS05,Sample 5,13
WS05,Sample 6,26
WS05,Sample 7,13
WS05,Sample 8,27
WS05,Sample 9,19
WS06,Sample 1,6
WS06,Sample 10,17
WS06,Sample 2,14
WS06,Sample 3,7
WS06,Sample 4,13
WS06,Sample 5,10
WS06,Sample 6,12
WS06,Sample 7,9
WS06,Sample 8,13
WS06,Sample 9,8
WS07,Sample 1,0
WS07,Sample 10,1
WS07,Sample 2,1
WS07,Sample 3,0
WS07,Sample 4,1
WS07,Sample 5,0
WS07,Sample 6,1
WS07,Sample 7,2
WS07,Sample 8,0
WS07,Sample 9,0
WS08,Sample 1,0
WS08,Sample 10,0
WS08,Sample 2,0
WS08,Sample 3,0
WS08,Sample 4,0
WS08,Sample 5,0
WS08,Sample 6,0
WS08,Sample 7,0
WS08,Sample 8,0
WS08,Sample 9,0
WS09,Sample 1,0
WS09,Sample 10,0
WS09,Sample 2,0
WS09,Sample 3,0
WS09,Sample 4,0
WS09,Sample 5,0
WS09,Sample 6,0
WS09,Sample 7,0
WS09,Sample 8,0
WS09,Sample 9,0
WS10,Sample 1,0
WS10,Sample 10,0
WS10,Sample 2,0
WS10,Sample 3,0
WS10,Sample 4,0
WS10,Sample 5,0
WS10,Sample 6,0
WS10,Sample 7,0
WS10,Sample 8,0
WS10,Sample 9,0
WS11,Sample 1,6
WS11,Sample 10,7
WS11,Sample 2,6
WS11,Sample 3,12
WS11,Sample 4,5
WS11,Sample 5,14
WS11,Sample 6,7
WS11,Sample 7,10
WS11,Sample 8,5
WS11,Sample 9,13
WS12,Sample 1,6
WS12,Sample 10,6
WS12,Sample 2,7
WS12,Sample 3,3
WS12,Sample 4,6
WS12,Sample 5,7
WS12,Sample 6,6
WS12,Sample 7,6
WS12,Sample 8,6
WS12,Sample 9,8
WS13,Sample 1,25
WS13,Sample 10,23
WS13,Sample 2,14
WS13,Sample 3,30
WS13,Sample 4,34
WS13,Sample 5,27
WS13,Sample 6,33
WS13,Sample 7,31
WS13,Sample 8,33
WS13,Sample 9,23
WS14,Sample 1,0
WS14,Sample 10,0
WS14,Sample 2,0
WS14,Sample 3,0
WS14,Sample 4,0
WS14,Sample 5,0
WS14,Sample 6,0
WS14,Sample 7,0
WS14,Sample 8,0
WS14,Sample 9,0
WS15,Sample 1,0
WS15,Sample 10,1
WS15,Sample 2,0
WS15,Sample 3,0
WS15,Sample 4,0
WS15,Sample 5,0
WS15,Sample 6,0
WS15,Sample 7,0
WS15,Sample 8,0
WS15,Sample 9,0
WS16,Sample 1,0
WS16,Sample 10,0
WS16,Sample 2,0
WS16,Sample 3,0
WS16,Sample 4,0
WS16,Sample 5,0
WS16,Sample 6,0
WS16,Sample 7,0
WS16,Sample 8,0
WS16,Sample 9,0
WS17,Sample 1,1
WS17,Sample 10,6
WS17,Sample 2,0
WS17,Sample 3,6
WS17,Sample 4,1
WS17,Sample 5,1
WS17,Sample 6,2
WS17,Sample 7,5
WS17,Sample 8,6
WS17,Sample 9,0
WS18,Sample 1,12
WS18,Sample 10,13
WS18,Sample 2,12
WS18,Sample 3,11
WS18,Sample 4,6
WS18,Sample 5,8
WS18,Sample 6,13
WS18,Sample 7,12
WS18,Sample 8,10
WS18,Sample 9,4
WS19,Sample 1,36
WS19,Sample 10,18
WS19,Sample 2,24
WS19,Sample 3,39
WS19,Sample 4,26
WS19,Sample 5,26
WS19,Sample 6,36
WS19,Sample 7,35
WS19,Sample 8,22
WS19,Sample 9,36
WS20,Sample 1,0
WS20,Sample 10,0
WS20,Sample 2,0
WS20,Sample 3,0
WS20,Sample 4,0
WS20,Sample 5,0
WS20,Sample 6,0
WS20,Sample 7,0
WS20,Sample 8,0
WS20,Sample 9,0
WS21,Sample 1,8
WS21,Sample 10,8
WS21,Sample 2,5
WS21,Sample 3,10
WS21,Sample 4,2
WS21,Sample 5,6
WS21,Sample 6,14
WS21,Sample 7,6
WS21,Sample 8,2
WS21,Sample 9,8
WS22,Sample 1,0
WS22,Sample 10,0
WS22,Sample 2,0
WS22,Sample 3,0
WS22,Sample 4,0
WS22,Sample 5,0
WS22,Sample 6,0
WS22,Sample 7,0
WS22,Sample 8,0
WS22,Sample 9,0
WS23,Sample 1,31
WS23,Sample 10,27
WS23,Sample 2,27
WS23,Sample 3,14
WS23,Sample 4,32
WS23,Sample 5,10
WS23,Sample 6,31
WS23,Sample 7,25
WS23,Sample 8,11
WS23,Sample 9,13
WS24,Sample 1,0
WS24,Sample 10,0
WS24,Sample 2,0
WS24,Sample 3,0
WS24,Sample 4,0
WS24,Sample 5,0
WS24,Sample 6,0
WS24,Sample 7,0
WS24,Sample 8,0
WS24,Sample 9,0
WS25,Sample 1,63
WS25,Sample 10,65
WS25,Sample 2,58
WS25,Sample 3,82
WS25,Sample 4,80
WS25,Sample 5,66
WS25,Sample 6,66
WS25,Sample 7,76
WS25,Sample 8,78
WS25,Sample 9,64
WS26,Sample 1,0
WS26,Sample 10,0
WS26,Sample 2,0
WS26,Sample 3,0
WS26,Sample 4,0
WS26,Sample 5,0
WS26,Sample 6,0
WS26,Sample 7,0
WS26,Sample 8,0
WS26,Sample 9,0
WS27,Sample 1,0
WS27,Sample 10,0
WS27,Sample 2,0
WS27,Sample 3,0
WS27,Sample 4,0
WS27,Sample 5,0
WS27,Sample 6,2
WS27,Sample 7,0
WS27,Sample 8,0
WS27,Sample 9,0
WS28,Sample 1,3
WS28,Sample 10,0
WS28,Sample 2,5
WS28,Sample 3,2
WS28,Sample 4,0
WS28,Sample 5,0
WS28,Sample 6,4
WS28,Sample 7,0
WS28,Sample 8,0
WS28,Sample 9,0
WS29,Sample 1,0
WS29,Sample 10,0
WS29,Sample 2,0
WS29,Sample 3,0
WS29,Sample 4,0
WS29,Sample 5,0
WS29,Sample 6,0
WS29,Sample 7,0
WS29,Sample 8,0
WS29,Sample 9,0
WS30,Sample 1,0
WS30,Sample 10,0
WS30,Sample 2,0
WS30,Sample 3,0
WS30,Sample 4,0
WS30,Sample 5,0
WS30,Sample 6,0
WS30,Sample 7,0
WS30,Sample 8,0
WS30,Sample 9,0
WS31,Sample 1,0
WS31,Sample 10,0
WS31,Sample 2,0
WS31,Sample 3,0
WS31,Sample 4,0
WS31,Sample 5,0
WS31,Sample 6,0
WS31,Sample 7,0
WS31,Sample 8,0
WS31,Sample 9,3
WS32,Sample 1,100
WS32,Sample 10,110
WS32,Sample 2,129
WS32,Sample 3,154
WS32,Sample 4,150
WS32,Sample 5,129
WS32,Sample 6,128
WS32,Sample 7,146
WS32,Sample 8,105
WS32,Sample 9,130
WS33,Sample 1,0
WS33,Sample 10,13
WS33,Sample 2,7
WS33,Sample 3,34
WS33,Sample 4,32
WS33,Sample 5,13
WS33,Sample 6,11
WS33,Sample 7,7
WS33,Sample 8,4
WS33,Sample 9,19
WS34,Sample 1,0
WS34,Sample 10,1
WS34,Sample 2,2
WS34,Sample 3,0
WS34,Sample 4,0
WS34,Sample 5,0
WS34,Sample 6,0
WS34,Sample 7,0
WS34,Sample 8,0
WS34,Sample 9,0
WS35,Sample 1,8
WS35,Sample 10,5
WS35,Sample 2,7
WS35,Sample 3,2
WS35,Sample 4,4
WS35,Sample 5,4
WS35,Sample 6,2
WS35,Sample 7,7
WS35,Sample 8,3
WS35,Sample 9,6
WS36,Sample 1,11
WS36,Sample 10,4
WS36,Sample 2,5
WS36,Sample 3,8
WS36,Sample 4,3
WS36,Sample 5,8
WS36,Sample 6,2
WS36,Sample 7,14
WS36,Sample 8,8
WS36,Sample 9,12
