Load,Native Load,WeekHour
12.3,11.8,1
12.0,11.4,2
11.8,11.2,3
11.9,11.2,4
11.9,11.4,5
13.0,12.7,6
13.7,13.4,7
15.8,15.4,8
17.3,16.7,9
18.4,17.3,10
19.6,17.6,11
20.3,17.3,12
20.8,17.4,13
20.7,17.4,14
19.5,17.2,15
17.6,16.4,16
16.0,15.4,17
15.2,15.0,18
15.0,14.8,19
14.7,14.5,20
14.1,13.9,21
13.2,12.9,22
13.8,13.4,23
13.2,12.9,24
12.8,12.3,25
12.4,11.9,26
12.4,11.7,27
12.4,11.7,28
12.4,11.9,29
13.3,12.9,30
14.0,13.7,31
16.1,15.8,32
17.7,17.2,33
18.6,17.6,34
19.7,17.7,35
20.4,17.3,36
21.0,17.4,37
20.8,17.4,38
19.6,17.2,39
17.6,16.3,40
15.9,15.3,41
15.2,14.9,42
15.0,14.8,43
14.8,14.6,44
14.2,14.0,45
13.1,12.9,46
13.9,13.5,47
13.3,13.0,48
12.9,12.4,49
12.5,11.9,50
12.4,11.7,51
12.4,11.7,52
12.4,11.9,53
13.2,12.9,54
13.9,13.7,55
16.1,15.8,56
17.7,17.3,57
18.5,17.6,58
19.7,17.7,59
20.3,17.3,60
20.9,17.4,61
20.7,17.5,62
19.5,17.2,63
17.6,16.4,64
16.0,15.4,65
15.2,15.0,66
15.0,14.8,67
14.8,14.6,68
14.2,13.9,69
13.1,12.9,70
13.9,13.6,71
13.4,13.0,72
12.9,12.4,73
12.5,11.9,74
12.4,11.7,75
12.5,11.7,76
12.5,11.8,77
13.2,12.9,78
14.0,13.7,79
16.2,15.9,80
17.8,17.3,81
18.7,17.7,82
19.9,17.8,83
20.5,17.5,84
21.0,17.5,85
20.9,17.5,86
19.6,17.3,87
17.6,16.5,88
16.0,15.4,89
15.3,15.1,90
15.2,15.0,91
14.9,14.7,92
14.4,14.2,93
13.3,13.0,94
14.0,13.7,95
13.4,13.1,96
12.9,12.5,97
12.5,12.0,98
12.4,11.8,99
12.5,11.8,100
12.5,11.9,101
13.3,12.9,102
13.8,13.5,103
15.8,15.5,104
17.3,16.8,105
18.2,17.2,106
19.3,17.3,107
19.9,17.0,108
20.4,16.9,109
20.2,16.8,110
18.9,16.4,111
16.9,15.6,112
15.5,14.9,113
14.9,14.6,114
14.6,14.4,115
14.3,14.1,116
13.7,13.5,117
12.9,12.6,118
13.9,13.6,119
13.4,13.1,120
12.8,12.4,121
12.4,11.9,122
12.2,11.6,123
12.2,11.5,124
12.2,11.5,125
12.4,11.7,126
13.3,12.7,127
14.7,14.1,128
16.4,15.5,129
17.8,16.4,130
19.3,16.9,131
20.1,17.0,132
20.5,16.8,133
20.3,16.5,134
19.1,16.3,135
17.5,16.0,136
16.8,16.0,137
16.3,15.8,138
15.9,15.6,139
15.6,15.2,140
15.0,14.7,141
14.5,14.1,142
14.0,13.5,143
13.0,12.6,144
12.6,12.1,145
12.4,11.8,146
12.0,11.4,147
12.0,11.2,148
11.9,11.1,149
12.2,11.5,150
12.8,12.0,151
13.5,12.6,152
14.5,13.3,153
15.9,14.1,154
17.5,14.7,155
18.6,15.2,156
19.2,15.3,157
19.0,15.2,158
18.0,15.1,159
16.6,15.0,160
16.2,15.3,161
15.9,15.4,162
15.6,15.3,163
15.3,15.0,164
14.9,14.6,165
14.4,14.0,166
13.8,13.4,167
12.7,12.3,168
