Year,ScenarioDetail,Average of exch-GW,SHortage
2028,High Demand,2.8,No shortage hour
2028,High Demand,1.1,Shortage hour
2030,High Demand,4.1,No shortage hour
2030,High Demand,3.7,Shortage hour
2033,High Demand,5.2,No shortage hour
2033,High Demand,7.1,Shortage hour
2035,High Demand,7.2,No shortage hour
2035,High Demand,8.9,Shortage hour
