WeatherScenario,Iteration,Sum of ENShours
WS27,Sample 4,8
WS27,Sample 5,17
WS27,Sample 6,1
WS27,Sample 7,0
WS27,Sample 8,0
WS27,Sample 9,9
WS28,Sample 1,0
WS28,Sample 10,11
WS28,Sample 2,0
WS28,Sample 3,0
WS28,Sample 4,0
WS28,Sample 5,0
WS28,Sample 6,0
WS28,Sample 7,0
WS28,Sample 8,0
WS28,Sample 9,0
WS29,Sample 1,0
WS29,Sample 10,0
WS29,Sample 2,0
WS29,Sample 3,0
WS29,Sample 4,0
WS29,Sample 5,0
WS29,Sample 6,0
WS29,Sample 7,0
WS29,Sample 8,0
WS29,Sample 9,0
WS30,Sample 1,0
WS30,Sample 10,0
WS30,Sample 2,0
WS30,Sample 3,0
WS30,Sample 4,0
WS30,Sample 5,0
WS30,Sample 6,0
WS30,Sample 7,0
WS30,Sample 8,0
WS30,Sample 9,0
WS31,Sample 1,0
WS31,Sample 10,11
WS31,Sample 2,8
WS31,Sample 3,0
WS31,Sample 4,0
WS31,Sample 5,10
WS31,Sample 6,0
WS31,Sample 7,0
WS31,Sample 8,0
WS31,Sample 9,0
WS32,Sample 1,278
WS32,Sample 10,283
WS32,Sample 2,277
WS32,Sample 3,283
WS32,Sample 4,276
WS32,Sample 5,273
WS32,Sample 6,299
WS32,Sample 7,281
WS32,Sample 8,277
WS32,Sample 9,293
WS33,Sample 1,71
WS33,Sample 10,66
WS33,Sample 2,71
WS33,Sample 3,67
WS33,Sample 4,64
WS33,Sample 5,62
WS33,Sample 6,76
WS33,Sample 7,79
WS33,Sample 8,67
WS33,Sample 9,81
WS34,Sample 1,22
WS34,Sample 10,29
WS34,Sample 2,24
WS34,Sample 3,26
WS34,Sample 4,24
WS34,Sample 5,25
WS34,Sample 6,22
WS34,Sample 7,22
WS34,Sample 8,27
WS34,Sample 9,25
WS35,Sample 1,15
WS35,Sample 10,16
WS35,Sample 2,16
WS35,Sample 3,15
WS35,Sample 4,16
WS35,Sample 5,16
WS35,Sample 6,16
WS35,Sample 7,15
WS35,Sample 8,22
WS35,Sample 9,16
WS36,Sample 1,76
WS36,Sample 10,67
WS36,Sample 2,79
WS36,Sample 3,67
WS36,Sample 4,65
WS36,Sample 5,71
WS36,Sample 6,69
WS36,Sample 7,80
WS36,Sample 8,72
WS36,Sample 9,78
