Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS01,10.2
Sample 10,WS01,10.299999999999997
Sample 2,WS01,7.000000000000001
Sample 3,WS01,3.6999999999999997
Sample 4,WS01,18.1
Sample 5,WS01,9.400000000000002
Sample 6,WS01,11.199999999999998
Sample 7,WS01,4.5
Sample 8,WS01,13.399999999999999
Sample 9,WS01,8.5
Sample 1,WS02,0
Sample 10,WS02,0
Sample 2,WS02,10.5
Sample 3,WS02,3.7000000000000006
Sample 4,WS02,0
Sample 5,WS02,0
Sample 6,WS02,0
Sample 7,WS02,0
Sample 8,WS02,0
Sample 9,WS02,0
Sample 1,WS03,27.700000000000006
Sample 10,WS03,26.400000000000002
Sample 2,WS03,31.199999999999996
Sample 3,WS03,33.7
Sample 4,WS03,24.1
Sample 5,WS03,29.600000000000005
Sample 6,WS03,27.800000000000004
Sample 7,WS03,25.499999999999996
Sample 8,WS03,34
Sample 9,WS03,34.6
Sample 1,WS04,0
Sample 10,WS04,0
Sample 2,WS04,0
Sample 3,WS04,0
Sample 4,WS04,0
Sample 5,WS04,0
Sample 6,WS04,0
Sample 7,WS04,0
Sample 8,WS04,0
Sample 9,WS04,0
Sample 1,WS05,45.3
Sample 10,WS05,70.89999999999999
Sample 2,WS05,50.09999999999999
Sample 3,WS05,54.50000000000001
Sample 4,WS05,41.80000000000001
Sample 5,WS05,47.900000000000006
Sample 6,WS05,49.30000000000001
Sample 7,WS05,49.00000000000001
Sample 8,WS05,57.499999999999986
Sample 9,WS05,58
Sample 1,WS06,44.100000000000016
Sample 10,WS06,57.4
Sample 2,WS06,42.199999999999996
Sample 3,WS06,45.29999999999999
Sample 4,WS06,51.2
Sample 5,WS06,48.4
Sample 6,WS06,48.700000000000024
Sample 7,WS06,47.69999999999999
Sample 8,WS06,49.300000000000004
Sample 9,WS06,42.900000000000006
Sample 1,WS07,7.500000000000001
Sample 10,WS07,23.900000000000006
Sample 2,WS07,2.8
Sample 3,WS07,7.300000000000001
Sample 4,WS07,5.799999999999998
Sample 5,WS07,10.299999999999997
Sample 6,WS07,2.8000000000000003
Sample 7,WS07,3.3000000000000003
Sample 8,WS07,4.7
Sample 9,WS07,7.4
Sample 1,WS08,0
Sample 10,WS08,0
Sample 2,WS08,0
Sample 3,WS08,0
Sample 4,WS08,0
Sample 5,WS08,0
Sample 6,WS08,0
