Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 7,WS08,0
Sample 8,WS08,0
Sample 9,WS08,0
Sample 1,WS09,0
Sample 10,WS09,0
Sample 2,WS09,0
Sample 3,WS09,0
Sample 4,WS09,0
Sample 5,WS09,0
Sample 6,WS09,0
Sample 7,WS09,0
Sample 8,WS09,0
Sample 9,WS09,0
Sample 1,WS10,0
Sample 10,WS10,0
Sample 2,WS10,0.6
Sample 3,WS10,0
Sample 4,WS10,0
Sample 5,WS10,0
Sample 6,WS10,2.2
Sample 7,WS10,0
Sample 8,WS10,0
Sample 9,WS10,0
Sample 1,WS11,15.800000000000002
Sample 10,WS11,13.900000000000004
Sample 2,WS11,11.8
Sample 3,WS11,21.9
Sample 4,WS11,11.1
Sample 5,WS11,13.300000000000002
Sample 6,WS11,21.300000000000004
Sample 7,WS11,20.399999999999995
Sample 8,WS11,13.5
Sample 9,WS11,21.199999999999996
Sample 1,WS12,11.400000000000002
Sample 10,WS12,13.6
Sample 2,WS12,17.200000000000003
Sample 3,WS12,6.3
Sample 4,WS12,21.4
Sample 5,WS12,16.4
Sample 6,WS12,12.799999999999997
Sample 7,WS12,12.099999999999998
Sample 8,WS12,9.7
Sample 9,WS12,17.7
Sample 1,WS13,169.00000000000009
Sample 10,WS13,151.10000000000002
Sample 2,WS13,164.09999999999994
Sample 3,WS13,165.00000000000003
Sample 4,WS13,182.3999999999999
Sample 5,WS13,153
Sample 6,WS13,142.8
Sample 7,WS13,129.29999999999998
Sample 8,WS13,143.09999999999994
Sample 9,WS13,182.90000000000006
Sample 1,WS14,0
Sample 10,WS14,0
Sample 2,WS14,0.2
Sample 3,WS14,6.3
Sample 4,WS14,0
Sample 5,WS14,0
Sample 6,WS14,0
Sample 7,WS14,0
Sample 8,WS14,0.3
Sample 9,WS14,0
Sample 1,WS15,57.30000000000001
Sample 10,WS15,65.40000000000002
Sample 2,WS15,83.30000000000003
Sample 3,WS15,59.7
Sample 4,WS15,74.60000000000001
Sample 5,WS15,59.799999999999976
Sample 6,WS15,57.5
Sample 7,WS15,60.40000000000001
Sample 8,WS15,59.5
Sample 9,WS15,72.39999999999999
Sample 1,WS16,0
Sample 10,WS16,0
Sample 2,WS16,0
Sample 3,WS16,0
Sample 4,WS16,0
Sample 5,WS16,0
Sample 6,WS16,0
Sample 7,WS16,0
Sample 8,WS16,0
Sample 9,WS16,0.3
Sample 1,WS17,4.399999999999999
Sample 10,WS17,4.399999999999999
Sample 2,WS17,6.8
Sample 3,WS17,8.4
Sample 4,WS17,7.8
Sample 5,WS17,2.8000000000000003
Sample 6,WS17,8.9
Sample 7,WS17,3.700000000000001
Sample 8,WS17,8.699999999999998
Sample 9,WS17,3.5
Sample 1,WS18,39.900000000000006
Sample 10,WS18,40.80000000000001
Sample 2,WS18,46.199999999999996
Sample 3,WS18,40.2
Sample 4,WS18,38.7
Sample 5,WS18,47.300000000000004
Sample 6,WS18,49.099999999999994
Sample 7,WS18,40.6
Sample 8,WS18,42.7
Sample 9,WS18,43.5
Sample 1,WS19,110.59999999999997
Sample 10,WS19,116.20000000000002
Sample 2,WS19,111.89999999999999
Sample 3,WS19,112.59999999999998
Sample 4,WS19,114.5
Sample 5,WS19,139
Sample 6,WS19,121.90000000000002
Sample 7,WS19,121.39999999999996
Sample 8,WS19,126.70000000000002
Sample 9,WS19,118.4
Sample 1,WS20,0
Sample 10,WS20,0
Sample 2,WS20,0
Sample 3,WS20,0
Sample 4,WS20,0
Sample 5,WS20,0
Sample 6,WS20,0
Sample 7,WS20,0
Sample 8,WS20,0
Sample 9,WS20,0
Sample 1,WS21,17.499999999999996
Sample 10,WS21,19
Sample 2,WS21,10.5
Sample 3,WS21,32.2
Sample 4,WS21,21.500000000000007
Sample 5,WS21,16.299999999999997
Sample 6,WS21,20.699999999999996
Sample 7,WS21,26.2
Sample 8,WS21,18.400000000000006
Sample 9,WS21,8.4
Sample 1,WS22,0
Sample 10,WS22,0
Sample 2,WS22,0
Sample 3,WS22,0
Sample 4,WS22,0
Sample 5,WS22,0
Sample 6,WS22,0
Sample 7,WS22,0
Sample 8,WS22,0
Sample 9,WS22,0
Sample 1,WS23,55.099999999999994
Sample 10,WS23,50.29999999999999
Sample 2,WS23,57.5
Sample 3,WS23,73.69999999999999
Sample 4,WS23,58.299999999999976
Sample 5,WS23,41.400000000000006
Sample 6,WS23,43.2
Sample 7,WS23,50.6
Sample 8,WS23,64.1
Sample 9,WS23,47.69999999999999
Sample 1,WS24,4
Sample 10,WS24,0
Sample 2,WS24,0
Sample 3,WS24,0
Sample 4,WS24,0
Sample 5,WS24,0
Sample 6,WS24,0
Sample 7,WS24,0
Sample 8,WS24,0
Sample 9,WS24,0
Sample 1,WS25,353.49999999999994
Sample 10,WS25,313.09999999999997
Sample 2,WS25,302.7
Sample 3,WS25,345.2000000000001
Sample 4,WS25,303.79999999999995
Sample 5,WS25,313.5
Sample 6,WS25,380.20000000000005
Sample 7,WS25,334.20000000000005
Sample 8,WS25,314.70000000000005
Sample 9,WS25,308.00000000000006
Sample 1,WS26,1.5999999999999999
Sample 10,WS26,6.499999999999998
Sample 2,WS26,0.9999999999999999
Sample 3,WS26,0.8
Sample 4,WS26,2.3000000000000007
Sample 5,WS26,2.4
Sample 6,WS26,1.5000000000000002
Sample 7,WS26,8.899999999999999
Sample 8,WS26,3.8000000000000007
Sample 9,WS26,1.8000000000000005
Sample 1,WS27,0
Sample 10,WS27,8.200000000000001
Sample 2,WS27,0
Sample 3,WS27,2.6
Sample 4,WS27,1.7000000000000002
Sample 5,WS27,0.8999999999999999
Sample 6,WS27,0.4
Sample 7,WS27,4.699999999999999
Sample 8,WS27,0.7
Sample 9,WS27,6.300000000000001
Sample 1,WS28,0.8
Sample 10,WS28,0
Sample 2,WS28,0
Sample 3,WS28,0.2
Sample 4,WS28,0
Sample 5,WS28,0.2
Sample 6,WS28,0.2
Sample 7,WS28,0
Sample 8,WS28,0
Sample 9,WS28,0
Sample 1,WS29,0
Sample 10,WS29,0
Sample 2,WS29,0
Sample 3,WS29,0
Sample 4,WS29,0
Sample 5,WS29,0
Sample 6,WS29,0
Sample 7,WS29,0
Sample 8,WS29,0
Sample 9,WS29,0
Sample 1,WS30,0
Sample 10,WS30,0
Sample 2,WS30,0
Sample 3,WS30,0
Sample 4,WS30,0
Sample 5,WS30,0
Sample 6,WS30,0
Sample 7,WS30,0
Sample 8,WS30,0
Sample 9,WS30,0
Sample 1,WS31,5.5
Sample 10,WS31,3.4999999999999996
Sample 2,WS31,0.4
Sample 3,WS31,1.6
Sample 4,WS31,2.7
Sample 5,WS31,6.3
Sample 6,WS31,1.6
Sample 7,WS31,1.8000000000000003
Sample 8,WS31,5.3999999999999995
Sample 9,WS31,4.2
Sample 1,WS32,470.6
Sample 10,WS32,502.70000000000033
Sample 2,WS32,483.20000000000005
Sample 3,WS32,489.2
Sample 4,WS32,470.49999999999994
Sample 5,WS32,461.1000000000001
Sample 6,WS32,467.4999999999999
Sample 7,WS32,426.60000000000014
Sample 8,WS32,460.5000000000002
Sample 9,WS32,494.8000000000001
Sample 1,WS33,92.1
Sample 10,WS33,104.80000000000001
Sample 2,WS33,118.60000000000001
Sample 3,WS33,96.20000000000003
Sample 4,WS33,107.50000000000001
Sample 5,WS33,109.79999999999995
Sample 6,WS33,90.39999999999998
Sample 7,WS33,101.59999999999998
Sample 8,WS33,115.90000000000003
Sample 9,WS33,82.8
Sample 1,WS34,4.299999999999999
Sample 10,WS34,9.399999999999999
Sample 2,WS34,6.1999999999999975
Sample 3,WS34,5.099999999999998
Sample 4,WS34,8.2
Sample 5,WS34,7.5
Sample 6,WS34,4.199999999999999
Sample 7,WS34,6.9
Sample 8,WS34,12.3
Sample 9,WS34,4.699999999999999
Sample 1,WS35,10.2
Sample 10,WS35,12.199999999999998
Sample 2,WS35,7.699999999999999
Sample 3,WS35,8.200000000000001
Sample 4,WS35,7.9
Sample 5,WS35,7.199999999999999
Sample 6,WS35,6.5
Sample 7,WS35,4.1
Sample 8,WS35,5
Sample 9,WS35,14.9
Sample 1,WS36,39.300000000000004
Sample 10,WS36,41.99999999999999
Sample 2,WS36,43.30000000000001
Sample 3,WS36,32.9
Sample 4,WS36,42.800000000000026
Sample 5,WS36,40.10000000000002
Sample 6,WS36,41.60000000000001
Sample 7,WS36,38
Sample 8,WS36,39.30000000000001
Sample 9,WS36,41.000000000000014
