Load,Native Load,WeekHour
16.7,14.9,1
16.3,14.4,2
16.2,14.2,3
16.2,14.2,4
16.3,14.4,5
17.4,15.6,6
18.0,16.3,7
20.6,18.8,8
23.3,20.9,9
25.7,21.6,10
28.1,21.8,11
29.4,21.4,12
30.0,21.5,13
29.6,21.6,14
28.1,21.5,15
25.2,20.8,16
22.5,19.8,17
21.4,19.9,18
20.9,19.7,19
20.4,19.3,20
19.5,18.3,21
18.3,16.9,22
18.8,17.5,23
18.4,17.0,24
17.9,16.4,25
17.5,15.9,26
17.3,15.6,27
17.3,15.6,28
17.4,15.8,29
17.6,16.0,30
18.2,16.7,31
20.8,19.2,32
23.6,21.3,33
25.8,21.9,34
28.5,22.0,35
30.0,21.6,36
30.6,21.6,37
30.2,21.7,38
28.4,21.5,39
25.3,20.7,40
22.3,19.6,41
21.0,19.6,42
20.6,19.5,43
20.2,19.2,44
19.4,18.3,45
18.2,16.9,46
18.9,17.6,47
18.4,17.0,48
18.0,16.4,49
17.4,15.8,50
17.3,15.5,51
17.2,15.5,52
17.3,15.6,53
17.6,16.0,54
18.1,16.6,55
20.8,19.2,56
23.6,21.3,57
25.7,21.8,58
28.3,21.9,59
29.7,21.5,60
30.4,21.6,61
30.0,21.7,62
28.4,21.5,63
25.4,20.8,64
22.5,19.8,65
21.1,19.6,66
20.6,19.5,67
20.2,19.1,68
19.4,18.2,69
18.2,16.9,70
19.0,17.6,71
18.5,17.1,72
18.0,16.4,73
17.5,15.9,74
17.3,15.6,75
17.3,15.5,76
17.3,15.6,77
17.7,16.0,78
18.3,16.7,79
20.9,19.3,80
23.7,21.4,81
26.0,22.0,82
28.4,22.1,83
29.8,21.7,84
30.4,21.7,85
29.9,21.8,86
28.2,21.6,87
25.3,20.9,88
22.5,19.8,89
21.2,19.8,90
20.8,19.7,91
20.4,19.3,92
19.6,18.5,93
18.4,17.1,94
19.1,17.7,95
18.5,17.1,96
18.1,16.5,97
17.6,15.9,98
17.4,15.7,99
17.4,15.6,100
17.4,15.7,101
17.7,16.0,102
18.0,16.4,103
20.3,18.7,104
22.8,20.4,105
25.2,21.3,106
27.8,21.5,107
29.2,21.2,108
29.7,21.1,109
29.2,21.1,110
27.5,20.7,111
24.6,20.0,112
21.9,19.2,113
20.6,19.0,114
20.1,18.8,115
19.6,18.4,116
18.9,17.6,117
18.0,16.5,118
18.9,17.5,119
18.5,17.0,120
18.1,16.3,121
17.5,15.7,122
17.3,15.4,123
17.2,15.3,124
17.2,15.2,125
16.9,14.6,126
17.9,15.6,127
19.6,17.2,128
22.0,18.7,129
24.8,19.9,130
27.7,20.6,131
29.1,20.8,132
29.6,20.6,133
28.9,20.4,134
27.4,20.2,135
24.8,20.0,136
22.9,19.9,137
21.6,19.6,138
20.9,19.2,139
20.4,18.8,140
19.8,18.1,141
19.2,17.4,142
18.5,16.7,143
17.6,15.8,144
17.3,15.2,145
16.9,14.9,146
16.6,14.4,147
16.4,14.2,148
16.3,14.1,149
16.6,14.3,150
17.3,14.8,151
18.6,15.7,152
20.6,16.8,153
23.2,17.6,154
26.1,18.2,155
27.6,18.6,156
28.4,18.8,157
27.8,18.7,158
26.3,18.7,159
23.7,18.6,160
22.1,19.0,161
21.1,19.1,162
20.6,19.0,163
20.1,18.6,164
19.5,18.0,165
18.8,17.2,166
18.1,16.4,167
17.2,15.4,168
