Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS01,9.399999999999999
Sample 10,WS01,4.500000000000001
Sample 2,WS01,9.299999999999999
Sample 3,WS01,9.999999999999996
Sample 4,WS01,7.000000000000001
Sample 5,WS01,13.799999999999999
Sample 6,WS01,6.200000000000001
Sample 7,WS01,8.1
Sample 8,WS01,19.1
Sample 9,WS01,7.1
Sample 1,WS02,2.2
Sample 10,WS02,0
Sample 2,WS02,1.9000000000000001
Sample 3,WS02,8.2
Sample 4,WS02,4.8999999999999995
Sample 5,WS02,0
Sample 6,WS02,3.9000000000000004
Sample 7,WS02,0.30000000000000004
Sample 8,WS02,1.7000000000000002
Sample 9,WS02,0
Sample 1,WS03,11.999999999999998
Sample 10,WS03,11.100000000000001
Sample 2,WS03,7.2
Sample 3,WS03,8.9
Sample 4,WS03,4.1000000000000005
Sample 5,WS03,16.8
Sample 6,WS03,6.999999999999999
Sample 7,WS03,8.6
Sample 8,WS03,7.6999999999999975
Sample 9,WS03,14
Sample 1,WS04,0
Sample 10,WS04,0
Sample 2,WS04,0
Sample 3,WS04,0
Sample 4,WS04,0
Sample 5,WS04,0
Sample 6,WS04,0
Sample 7,WS04,0.6
Sample 8,WS04,0
Sample 9,WS04,0
Sample 1,WS05,54.3
Sample 10,WS05,45.70000000000001
Sample 2,WS05,58.199999999999996
Sample 3,WS05,52.699999999999996
Sample 4,WS05,52.400000000000006
Sample 5,WS05,57.300000000000004
Sample 6,WS05,56.1
Sample 7,WS05,48.7
Sample 8,WS05,53.400000000000006
Sample 9,WS05,45.699999999999996
Sample 1,WS06,72.6
Sample 10,WS06,68.80000000000001
Sample 2,WS06,77.99999999999999
Sample 3,WS06,65.10000000000001
Sample 4,WS06,78.50000000000001
Sample 5,WS06,82.69999999999999
Sample 6,WS06,84.30000000000003
Sample 7,WS06,72.9
Sample 8,WS06,63.200000000000024
Sample 9,WS06,68.10000000000001
Sample 1,WS07,17.9
Sample 10,WS07,22.700000000000006
Sample 2,WS07,17.9
Sample 3,WS07,24.500000000000007
Sample 4,WS07,11.499999999999995
Sample 5,WS07,21.300000000000008
Sample 6,WS07,24.000000000000004
Sample 7,WS07,13.799999999999994
Sample 8,WS07,12.199999999999998
Sample 9,WS07,13.299999999999999
Sample 1,WS08,0
Sample 10,WS08,0
Sample 2,WS08,0
Sample 3,WS08,0
Sample 4,WS08,0
Sample 5,WS08,0
Sample 6,WS08,0
Sample 7,WS08,0
Sample 8,WS08,0
Sample 9,WS08,0
Sample 1,WS09,0.7000000000000001
Sample 10,WS09,0.9999999999999999
Sample 2,WS09,0.5
Sample 3,WS09,0.2
Sample 4,WS09,1.1
Sample 5,WS09,3.6999999999999997
Sample 6,WS09,1.7000000000000002
Sample 7,WS09,0.9000000000000001
Sample 8,WS09,4.4
Sample 9,WS09,0.9000000000000001
Sample 1,WS10,0
Sample 10,WS10,0
Sample 2,WS10,0
Sample 3,WS10,0
Sample 4,WS10,0
Sample 5,WS10,0
Sample 6,WS10,0
Sample 7,WS10,0.2
Sample 8,WS10,0.2
Sample 9,WS10,0
Sample 1,WS11,9.399999999999997
Sample 10,WS11,20.400000000000002
Sample 2,WS11,15.999999999999996
Sample 3,WS11,4.2
Sample 4,WS11,14.399999999999997
Sample 5,WS11,13.000000000000002
Sample 6,WS11,12.799999999999997
Sample 7,WS11,11.599999999999994
Sample 8,WS11,7.6000000000000005
Sample 9,WS11,5.499999999999998
Sample 1,WS12,6.999999999999999
Sample 10,WS12,5.6
Sample 2,WS12,4.900000000000001
Sample 3,WS12,5.8999999999999995
Sample 4,WS12,6.3
Sample 5,WS12,4.6000000000000005
Sample 6,WS12,6.3
Sample 7,WS12,3.9999999999999996
Sample 8,WS12,10.7
Sample 9,WS12,6.6000000000000005
Sample 1,WS13,194.59999999999997
Sample 10,WS13,238.19999999999976
Sample 2,WS13,222.99999999999983
Sample 3,WS13,219.60000000000002
Sample 4,WS13,197.89999999999978
Sample 5,WS13,186.89999999999998
Sample 6,WS13,204.79999999999995
Sample 7,WS13,225.79999999999993
Sample 8,WS13,200.80000000000004
Sample 9,WS13,224.39999999999986
Sample 1,WS14,3.6
Sample 10,WS14,5.099999999999999
Sample 2,WS14,2.3000000000000007
Sample 3,WS14,3.9000000000000004
Sample 4,WS14,6.3
Sample 5,WS14,1.5
Sample 6,WS14,1.7000000000000002
Sample 7,WS14,8.6
Sample 8,WS14,3.500000000000001
Sample 9,WS14,4
Sample 1,WS15,111.99999999999999
Sample 10,WS15,89.70000000000002
Sample 2,WS15,78.5
Sample 3,WS15,79.5
Sample 4,WS15,81.50000000000003
Sample 5,WS15,76.6
Sample 6,WS15,76.30000000000004
Sample 7,WS15,85.99999999999999
Sample 8,WS15,76.39999999999999
Sample 9,WS15,81.00000000000001
Sample 1,WS16,0
Sample 10,WS16,0.6
Sample 2,WS16,0.2
Sample 3,WS16,0
Sample 4,WS16,0
Sample 5,WS16,0
Sample 6,WS16,0.2
Sample 7,WS16,0
Sample 8,WS16,0
Sample 9,WS16,0
Sample 1,WS17,4.999999999999999
Sample 10,WS17,7.800000000000001
Sample 2,WS17,4.3999999999999995
Sample 3,WS17,9.299999999999999
Sample 4,WS17,6
Sample 5,WS17,9.3
Sample 6,WS17,10.200000000000001
Sample 7,WS17,6.2
Sample 8,WS17,7.2
Sample 9,WS17,6.800000000000001
Sample 1,WS18,50.79999999999999
Sample 10,WS18,53.7
