Event size [GWh],event_duration,Count of event_size
0 - 2,1,65
0 - 2,2,30
0 - 2,3,12
0 - 2,4,2
0 - 2,7,1
2 - 4,3,1
2 - 4,4,5
2 - 4,5,1
4 - 6,6,1
4 - 6,11,2
6 - 8,10,1
8 - 10,9,1
