Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 4,WS27,0
Sample 5,WS27,0
Sample 6,WS27,0
Sample 7,WS27,0
Sample 8,WS27,0
Sample 9,WS27,0
Sample 1,WS28,0
Sample 10,WS28,0
Sample 2,WS28,0
Sample 3,WS28,0
Sample 4,WS28,0
Sample 5,WS28,0
Sample 6,WS28,0
Sample 7,WS28,0
Sample 8,WS28,0
Sample 9,WS28,0
Sample 1,WS29,0
Sample 10,WS29,0
Sample 2,WS29,0
Sample 3,WS29,0
Sample 4,WS29,0
Sample 5,WS29,0
Sample 6,WS29,0
Sample 7,WS29,0
Sample 8,WS29,0
Sample 9,WS29,0
Sample 1,WS30,0
Sample 10,WS30,0
Sample 2,WS30,0
Sample 3,WS30,0
Sample 4,WS30,0
Sample 5,WS30,0
Sample 6,WS30,0
Sample 7,WS30,0
Sample 8,WS30,0
Sample 9,WS30,0
Sample 1,WS31,0
Sample 10,WS31,0
Sample 2,WS31,0
Sample 3,WS31,0
Sample 4,WS31,0
Sample 5,WS31,0
Sample 6,WS31,0
Sample 7,WS31,0
Sample 8,WS31,0
Sample 9,WS31,0
Sample 1,WS32,18.6
Sample 10,WS32,11.9
Sample 2,WS32,16.1
Sample 3,WS32,13.7
Sample 4,WS32,19
Sample 5,WS32,10.500000000000002
Sample 6,WS32,9.4
Sample 7,WS32,9.399999999999999
Sample 8,WS32,8
Sample 9,WS32,20.799999999999997
Sample 1,WS33,0
Sample 10,WS33,0
Sample 2,WS33,0
Sample 3,WS33,0
Sample 4,WS33,0
Sample 5,WS33,0
Sample 6,WS33,0
Sample 7,WS33,0
Sample 8,WS33,0
Sample 9,WS33,0
Sample 1,WS34,0
Sample 10,WS34,0
Sample 2,WS34,0
Sample 3,WS34,0
Sample 4,WS34,0
Sample 5,WS34,0
Sample 6,WS34,0
Sample 7,WS34,0
Sample 8,WS34,0
Sample 9,WS34,0
Sample 1,WS35,0
Sample 10,WS35,0
Sample 2,WS35,0
Sample 3,WS35,0
Sample 4,WS35,0
Sample 5,WS35,0
Sample 6,WS35,0
Sample 7,WS35,0
Sample 8,WS35,0
Sample 9,WS35,0
Sample 1,WS36,0
Sample 10,WS36,0
Sample 2,WS36,0
Sample 3,WS36,0
Sample 4,WS36,0
Sample 5,WS36,0
Sample 6,WS36,0
Sample 7,WS36,0
Sample 8,WS36,0
Sample 9,WS36,0
