Event size [GWh],event_duration,Count of event_size
0 - 2,1,298
0 - 2,2,118
0 - 2,3,70
0 - 2,4,41
0 - 2,5,21
0 - 2,6,1
0 - 2,7,1
0 - 2,8,7
0 - 2,9,3
2 - 4,2,2
2 - 4,3,27
2 - 4,4,5
2 - 4,5,4
2 - 4,7,1
2 - 4,8,4
2 - 4,10,1
4 - 6,3,4
4 - 6,4,1
4 - 6,5,2
4 - 6,6,2
4 - 6,8,1
4 - 6,9,2
6 - 8,4,1
6 - 8,5,1
6 - 8,9,3
6 - 8,15,1
8 - 10,5,1
8 - 10,9,2
10 - 12,8,1
12 - 14,10,1
12 - 14,18,1
14 - 16,9,1
16 - 18,14,1
18 - 20,15,1
20 - 22,16,1
22 - 24,16,3
24 - 26,15,2
24 - 26,19,1
28 - 30,16,1
