Iteration,WeatherScenario,Sum of ENS-GW-ifshortage
Sample 1,WS24,0
Sample 10,WS24,0
Sample 2,WS24,0
Sample 3,WS24,0
Sample 4,WS24,0
Sample 5,WS24,0
Sample 6,WS24,0
Sample 7,WS24,0
Sample 8,WS24,0
Sample 9,WS24,0
Sample 1,WS25,137
Sample 10,WS25,144.29999999999995
Sample 2,WS25,132.29999999999998
Sample 3,WS25,182.5
Sample 4,WS25,170.99999999999994
Sample 5,WS25,180.49999999999997
Sample 6,WS25,150.5
Sample 7,WS25,174.60000000000002
Sample 8,WS25,145
Sample 9,WS25,162.09999999999994
Sample 1,WS26,0
Sample 10,WS26,0
Sample 2,WS26,0
Sample 3,WS26,0
Sample 4,WS26,0
Sample 5,WS26,0
Sample 6,WS26,0
Sample 7,WS26,0
Sample 8,WS26,0
Sample 9,WS26,0
Sample 1,WS27,0
Sample 10,WS27,0
Sample 2,WS27,0
Sample 3,WS27,0
Sample 4,WS27,0
Sample 5,WS27,0
Sample 6,WS27,0
Sample 7,WS27,0
Sample 8,WS27,0
Sample 9,WS27,0
Sample 1,WS28,0.30000000000000004
Sample 10,WS28,0
Sample 2,WS28,0.30000000000000004
Sample 3,WS28,0.1
Sample 4,WS28,0
Sample 5,WS28,0
Sample 6,WS28,0.30000000000000004
Sample 7,WS28,0
Sample 8,WS28,0
Sample 9,WS28,0
Sample 1,WS29,0
Sample 10,WS29,0
Sample 2,WS29,0
Sample 3,WS29,0
Sample 4,WS29,0
Sample 5,WS29,0
Sample 6,WS29,0
Sample 7,WS29,0
Sample 8,WS29,0
Sample 9,WS29,0
Sample 1,WS30,0
Sample 10,WS30,0
Sample 2,WS30,0
Sample 3,WS30,0
Sample 4,WS30,0
Sample 5,WS30,0
Sample 6,WS30,0
Sample 7,WS30,0
Sample 8,WS30,0
Sample 9,WS30,0
Sample 1,WS31,0
Sample 10,WS31,0
Sample 2,WS31,0
Sample 3,WS31,0
Sample 4,WS31,0
Sample 5,WS31,0
Sample 6,WS31,0
Sample 7,WS31,0
Sample 8,WS31,0
Sample 9,WS31,0
Sample 1,WS32,161.89999999999998
Sample 10,WS32,187.2
Sample 2,WS32,185.20000000000005
Sample 3,WS32,232.80000000000013
Sample 4,WS32,248.6
Sample 5,WS32,187.6
Sample 6,WS32,186.8
Sample 7,WS32,259.9000000000001
Sample 8,WS32,181.1000000000001
Sample 9,WS32,193.29999999999995
Sample 1,WS33,0
Sample 10,WS33,0.2
Sample 2,WS33,0.1
Sample 3,WS33,22.90000000000001
Sample 4,WS33,31.40000000000001
Sample 5,WS33,1.2000000000000002
Sample 6,WS33,1.4999999999999998
Sample 7,WS33,0.4
Sample 8,WS33,0.30000000000000004
Sample 9,WS33,1.2
Sample 1,WS34,0
Sample 10,WS34,0
Sample 2,WS34,0
Sample 3,WS34,0
Sample 4,WS34,0
Sample 5,WS34,0
Sample 6,WS34,0
Sample 7,WS34,0
Sample 8,WS34,0
Sample 9,WS34,0
Sample 1,WS35,2.3000000000000003
Sample 10,WS35,0.1
Sample 2,WS35,1.5000000000000002
Sample 3,WS35,0
Sample 4,WS35,0.4
Sample 5,WS35,0.8
Sample 6,WS35,0.2
Sample 7,WS35,1.9000000000000004
Sample 8,WS35,0.5
Sample 9,WS35,1.2000000000000002
Sample 1,WS36,0.9999999999999999
Sample 10,WS36,0.1
Sample 2,WS36,1
Sample 3,WS36,0.1
Sample 4,WS36,0
Sample 5,WS36,1.3
Sample 6,WS36,0.30000000000000004
Sample 7,WS36,0.8999999999999999
Sample 8,WS36,0.7999999999999999
Sample 9,WS36,0.8999999999999999
