Load,Native Load,WeekHour
15.7,14.9,1
15.3,14.4,2
15.1,14.2,3
15.1,14.2,4
15.2,14.4,5
16.2,15.6,6
16.9,16.3,7
19.5,18.8,8
21.8,20.9,9
23.5,21.6,10
25.2,21.8,11
26.2,21.4,12
26.7,21.5,13
26.4,21.6,14
25.0,21.5,15
22.8,20.8,16
20.9,19.8,17
20.3,19.9,18
20.0,19.7,19
19.6,19.3,20
18.7,18.3,21
17.4,16.9,22
18.0,17.5,23
17.5,17.0,24
17.1,16.4,25
16.7,15.9,26
16.5,15.6,27
16.5,15.6,28
16.5,15.8,29
16.7,16.0,30
17.3,16.7,31
19.8,19.2,32
22.1,21.3,33
23.6,21.9,34
25.5,22.0,35
26.5,21.6,36
27.0,21.6,37
26.7,21.7,38
25.2,21.5,39
22.9,20.7,40
20.7,19.6,41
20.0,19.6,42
19.8,19.5,43
19.4,19.1,44
18.6,18.3,45
17.3,16.9,46
18.0,17.6,47
17.6,17.0,48
17.1,16.4,49
16.6,15.8,50
16.4,15.5,51
16.4,15.5,52
16.4,15.6,53
16.6,16.0,54
17.2,16.6,55
19.8,19.2,56
22.1,21.3,57
23.5,21.8,58
25.3,21.9,59
26.3,21.5,60
26.8,21.6,61
26.7,21.7,62
25.2,21.5,63
22.9,20.8,64
20.9,19.8,65
20.1,19.6,66
19.8,19.5,67
19.4,19.1,68
18.6,18.2,69
17.3,16.9,70
18.1,17.6,71
17.7,17.1,72
17.2,16.4,73
16.7,15.9,74
16.5,15.6,75
16.5,15.5,76
16.5,15.6,77
16.7,16.0,78
17.3,16.7,79
19.9,19.3,80
22.2,21.4,81
23.7,22.0,82
25.4,22.1,83
26.4,21.7,84
27.0,21.7,85
26.7,21.8,86
25.2,21.6,87
22.9,20.9,88
20.9,19.8,89
20.2,19.8,90
20.0,19.7,91
19.6,19.3,92
18.9,18.5,93
17.6,17.1,94
18.2,17.7,95
17.7,17.1,96
17.2,16.5,97
16.7,15.9,98
16.5,15.7,99
16.5,15.6,100
16.5,15.7,101
16.7,16.0,102
17.0,16.4,103
19.2,18.7,104
21.3,20.4,105
23.0,21.3,106
24.9,21.5,107
25.9,21.2,108
26.4,21.1,109
26.1,21.1,110
24.5,20.7,111
22.1,20.0,112
20.3,19.2,113
19.5,19.0,114
19.2,18.8,115
18.7,18.4,116
18.0,17.6,117
17.0,16.5,118
18.0,17.5,119
17.6,17.0,120
17.0,16.3,121
16.5,15.7,122
16.3,15.4,123
16.3,15.3,124
16.2,15.2,125
15.8,14.6,126
16.7,15.6,127
18.3,17.2,128
20.2,18.7,129
22.4,19.9,130
24.5,20.6,131
25.7,20.8,132
26.2,20.6,133
25.7,20.4,134
24.4,20.2,135
22.4,20.0,136
21.3,19.9,137
20.4,19.6,138
19.9,19.2,139
19.4,18.8,140
18.8,18.1,141
18.1,17.4,142
17.5,16.7,143
16.5,15.8,144
16.1,15.2,145
15.8,14.9,146
15.5,14.4,147
15.3,14.2,148
15.2,14.1,149
15.4,14.3,150
16.0,14.8,151
17.1,15.7,152
18.7,16.8,153
20.5,17.6,154
22.7,18.2,155
24.0,18.6,156
24.7,18.8,157
24.4,18.7,158
23.1,18.7,159
21.3,18.6,160
20.4,19.0,161
19.9,19.1,162
19.5,19.0,163
19.1,18.6,164
18.5,18.0,165
17.8,17.2,166
17.1,16.4,167
16.1,15.4,168
