WeatherScenario,Iteration,Sum of ENShours
WS26,Sample 8,3
WS26,Sample 9,0
WS27,Sample 1,0
WS27,Sample 10,0
WS27,Sample 2,0
WS27,Sample 3,0
WS27,Sample 4,0
WS27,Sample 5,0
WS27,Sample 6,0
WS27,Sample 7,0
WS27,Sample 8,0
WS27,Sample 9,0
WS28,Sample 1,0
WS28,Sample 10,0
WS28,Sample 2,0
WS28,Sample 3,0
WS28,Sample 4,0
WS28,Sample 5,0
WS28,Sample 6,0
WS28,Sample 7,0
WS28,Sample 8,0
WS28,Sample 9,0
WS29,Sample 1,0
WS29,Sample 10,0
WS29,Sample 2,0
WS29,Sample 3,0
WS29,Sample 4,0
WS29,Sample 5,0
WS29,Sample 6,0
WS29,Sample 7,0
WS29,Sample 8,0
WS29,Sample 9,0
WS30,Sample 1,0
WS30,Sample 10,0
WS30,Sample 2,0
WS30,Sample 3,0
WS30,Sample 4,0
WS30,Sample 5,0
WS30,Sample 6,0
WS30,Sample 7,0
WS30,Sample 8,0
WS30,Sample 9,0
WS31,Sample 1,1
WS31,Sample 10,0
WS31,Sample 2,0
WS31,Sample 3,0
WS31,Sample 4,0
WS31,Sample 5,5
WS31,Sample 6,0
WS31,Sample 7,0
WS31,Sample 8,3
WS31,Sample 9,0
WS32,Sample 1,146
WS32,Sample 10,152
WS32,Sample 2,158
WS32,Sample 3,172
WS32,Sample 4,147
WS32,Sample 5,143
WS32,Sample 6,166
WS32,Sample 7,141
WS32,Sample 8,176
WS32,Sample 9,155
WS33,Sample 1,48
WS33,Sample 10,56
WS33,Sample 2,61
WS33,Sample 3,53
WS33,Sample 4,53
WS33,Sample 5,55
WS33,Sample 6,57
WS33,Sample 7,59
WS33,Sample 8,57
WS33,Sample 9,52
WS34,Sample 1,9
WS34,Sample 10,8
WS34,Sample 2,9
WS34,Sample 3,0
WS34,Sample 4,11
WS34,Sample 5,11
WS34,Sample 6,1
WS34,Sample 7,7
WS34,Sample 8,14
WS34,Sample 9,0
WS35,Sample 1,9
WS35,Sample 10,10
WS35,Sample 2,8
WS35,Sample 3,8
WS35,Sample 4,8
WS35,Sample 5,10
WS35,Sample 6,8
WS35,Sample 7,5
WS35,Sample 8,5
WS35,Sample 9,10
WS36,Sample 1,19
WS36,Sample 10,17
WS36,Sample 2,18
WS36,Sample 3,17
WS36,Sample 4,15
WS36,Sample 5,16
WS36,Sample 6,18
WS36,Sample 7,16
WS36,Sample 8,17
WS36,Sample 9,16
