WeatherScenario,Iteration,Sum of ENShours
WS01,Sample 1,6
WS01,Sample 10,10
WS01,Sample 2,2
WS01,Sample 3,0
WS01,Sample 4,15
WS01,Sample 5,5
WS01,Sample 6,9
WS01,Sample 7,0
WS01,Sample 8,12
WS01,Sample 9,4
WS02,Sample 1,0
WS02,Sample 10,0
WS02,Sample 2,0
WS02,Sample 3,0
WS02,Sample 4,0
WS02,Sample 5,0
WS02,Sample 6,0
WS02,Sample 7,0
WS02,Sample 8,0
WS02,Sample 9,0
WS03,Sample 1,16
WS03,Sample 10,15
WS03,Sample 2,15
WS03,Sample 3,18
WS03,Sample 4,18
WS03,Sample 5,18
WS03,Sample 6,16
WS03,Sample 7,19
WS03,Sample 8,16
WS03,Sample 9,22
WS04,Sample 1,0
WS04,Sample 10,0
WS04,Sample 2,0
WS04,Sample 3,0
WS04,Sample 4,0
WS04,Sample 5,0
WS04,Sample 6,0
WS04,Sample 7,0
WS04,Sample 8,0
WS04,Sample 9,0
WS05,Sample 1,16
WS05,Sample 10,24
WS05,Sample 2,16
WS05,Sample 3,20
WS05,Sample 4,13
WS05,Sample 5,17
WS05,Sample 6,14
WS05,Sample 7,17
WS05,Sample 8,16
WS05,Sample 9,16
WS06,Sample 1,33
WS06,Sample 10,40
WS06,Sample 2,36
WS06,Sample 3,36
WS06,Sample 4,36
WS06,Sample 5,33
WS06,Sample 6,30
WS06,Sample 7,35
WS06,Sample 8,35
WS06,Sample 9,29
WS07,Sample 1,5
WS07,Sample 10,16
WS07,Sample 2,0
WS07,Sample 3,4
WS07,Sample 4,1
WS07,Sample 5,4
WS07,Sample 6,0
WS07,Sample 7,0
WS07,Sample 8,0
WS07,Sample 9,3
WS08,Sample 1,0
WS08,Sample 10,0
WS08,Sample 2,0
WS08,Sample 3,0
WS08,Sample 4,0
WS08,Sample 5,0
WS08,Sample 6,0
WS08,Sample 7,0
WS08,Sample 8,0
WS08,Sample 9,0
WS09,Sample 1,0
WS09,Sample 10,0
WS09,Sample 2,0
WS09,Sample 3,0
WS09,Sample 4,0
WS09,Sample 5,0
WS09,Sample 6,0
WS09,Sample 7,0
WS09,Sample 8,0
WS09,Sample 9,0
WS10,Sample 1,0
WS10,Sample 10,0
WS10,Sample 2,0
WS10,Sample 3,0
WS10,Sample 4,0
WS10,Sample 5,0
WS10,Sample 6,0
WS10,Sample 7,0
WS10,Sample 8,0
WS10,Sample 9,0
WS11,Sample 1,9
WS11,Sample 10,13
WS11,Sample 2,8
WS11,Sample 3,17
WS11,Sample 4,6
WS11,Sample 5,10
WS11,Sample 6,9
WS11,Sample 7,8
WS11,Sample 8,12
WS11,Sample 9,8
WS12,Sample 1,6
WS12,Sample 10,7
WS12,Sample 2,6
WS12,Sample 3,4
WS12,Sample 4,6
WS12,Sample 5,6
WS12,Sample 6,6
WS12,Sample 7,5
WS12,Sample 8,4
WS12,Sample 9,7
WS13,Sample 1,76
WS13,Sample 10,60
WS13,Sample 2,66
WS13,Sample 3,69
WS13,Sample 4,100
WS13,Sample 5,69
WS13,Sample 6,70
WS13,Sample 7,47
WS13,Sample 8,69
WS13,Sample 9,106
WS14,Sample 1,0
WS14,Sample 10,0
WS14,Sample 2,0
WS14,Sample 3,0
WS14,Sample 4,0
WS14,Sample 5,0
WS14,Sample 6,0
WS14,Sample 7,0
WS14,Sample 8,0
WS14,Sample 9,0
WS15,Sample 1,44
WS15,Sample 10,48
WS15,Sample 2,49
WS15,Sample 3,48
WS15,Sample 4,48
WS15,Sample 5,43
WS15,Sample 6,40
WS15,Sample 7,48
WS15,Sample 8,42
WS15,Sample 9,44
WS16,Sample 1,0
WS16,Sample 10,0
WS16,Sample 2,0
WS16,Sample 3,0
WS16,Sample 4,0
WS16,Sample 5,0
WS16,Sample 6,0
WS16,Sample 7,0
WS16,Sample 8,0
WS16,Sample 9,0
WS17,Sample 1,0
WS17,Sample 10,0
WS17,Sample 2,4
WS17,Sample 3,8
WS17,Sample 4,7
WS17,Sample 5,0
WS17,Sample 6,10
WS17,Sample 7,0
WS17,Sample 8,6
WS17,Sample 9,0
WS18,Sample 1,15
WS18,Sample 10,13
WS18,Sample 2,21
WS18,Sample 3,14
WS18,Sample 4,16
WS18,Sample 5,17
WS18,Sample 6,20
WS18,Sample 7,14
WS18,Sample 8,15
WS18,Sample 9,17
WS19,Sample 1,64
WS19,Sample 10,49
WS19,Sample 2,64
WS19,Sample 3,49
WS19,Sample 4,66
WS19,Sample 5,70
WS19,Sample 6,63
WS19,Sample 7,71
WS19,Sample 8,59
WS19,Sample 9,63
WS20,Sample 1,0
WS20,Sample 10,0
WS20,Sample 2,0
WS20,Sample 3,0
WS20,Sample 4,0
WS20,Sample 5,0
WS20,Sample 6,0
WS20,Sample 7,0
WS20,Sample 8,0
WS20,Sample 9,0
WS21,Sample 1,24
WS21,Sample 10,18
WS21,Sample 2,11
WS21,Sample 3,27
WS21,Sample 4,22
WS21,Sample 5,20
WS21,Sample 6,20
WS21,Sample 7,19
WS21,Sample 8,18
WS21,Sample 9,4
WS22,Sample 1,0
WS22,Sample 10,0
WS22,Sample 2,0
WS22,Sample 3,0
WS22,Sample 4,0
WS22,Sample 5,0
WS22,Sample 6,0
WS22,Sample 7,0
WS22,Sample 8,0
WS22,Sample 9,0
WS23,Sample 1,35
WS23,Sample 10,33
WS23,Sample 2,32
WS23,Sample 3,40
WS23,Sample 4,30
WS23,Sample 5,26
WS23,Sample 6,30
WS23,Sample 7,29
WS23,Sample 8,38
WS23,Sample 9,16
WS24,Sample 1,0
WS24,Sample 10,0
WS24,Sample 2,0
WS24,Sample 3,0
WS24,Sample 4,0
WS24,Sample 5,0
WS24,Sample 6,0
WS24,Sample 7,0
WS24,Sample 8,0
WS24,Sample 9,0
WS25,Sample 1,99
WS25,Sample 10,94
WS25,Sample 2,92
WS25,Sample 3,89
WS25,Sample 4,88
WS25,Sample 5,82
WS25,Sample 6,104
WS25,Sample 7,89
WS25,Sample 8,87
WS25,Sample 9,86
WS26,Sample 1,1
WS26,Sample 10,9
WS26,Sample 2,0
WS26,Sample 3,0
WS26,Sample 4,0
WS26,Sample 5,1
WS26,Sample 6,0
WS26,Sample 7,9
