Event size [GWh],event_duration,Count of event_size
0 - 10,1,185
0 - 10,2,146
0 - 10,3,164
0 - 10,4,112
0 - 10,5,107
0 - 10,6,65
0 - 10,7,68
0 - 10,8,54
0 - 10,9,37
0 - 10,10,22
0 - 10,11,20
0 - 10,12,13
0 - 10,13,13
0 - 10,14,10
0 - 10,15,8
0 - 10,16,8
0 - 10,17,9
0 - 10,18,5
0 - 10,19,3
10 - 20,4,1
10 - 20,5,4
10 - 20,6,8
10 - 20,7,7
10 - 20,8,10
10 - 20,9,6
10 - 20,10,10
10 - 20,11,7
10 - 20,12,5
10 - 20,13,2
10 - 20,14,14
10 - 20,15,8
10 - 20,16,27
10 - 20,17,16
10 - 20,18,21
10 - 20,19,19
10 - 20,20,3
10 - 20,21,1
10 - 20,22,1
10 - 20,26,1
20 - 30,6,1
20 - 30,8,5
20 - 30,9,1
20 - 30,10,2
20 - 30,11,3
20 - 30,12,1
20 - 30,13,4
20 - 30,14,5
20 - 30,15,3
20 - 30,16,7
20 - 30,18,16
20 - 30,19,14
20 - 30,20,1
20 - 30,21,1
20 - 30,23,1
20 - 30,26,3
20 - 30,30,1
20 - 30,34,3
20 - 30,37,1
30 - 40,8,4
30 - 40,9,4
30 - 40,12,1
30 - 40,13,1
30 - 40,16,4
30 - 40,17,2
30 - 40,18,4
30 - 40,19,5
30 - 40,21,2
30 - 40,22,1
30 - 40,26,1
30 - 40,27,1
30 - 40,28,3
30 - 40,33,1
30 - 40,35,2
30 - 40,36,2
30 - 40,37,2
30 - 40,38,1
40 - 50,9,6
40 - 50,16,1
40 - 50,17,1
40 - 50,18,10
40 - 50,19,7
40 - 50,20,2
40 - 50,21,4
40 - 50,22,1
40 - 50,27,1
40 - 50,28,3
40 - 50,29,3
40 - 50,33,3
40 - 50,34,1
40 - 50,42,1
40 - 50,43,2
50 - 60,18,2
50 - 60,19,8
50 - 60,20,3
50 - 60,21,1
50 - 60,22,1
50 - 60,23,2
50 - 60,24,1
50 - 60,26,2
50 - 60,29,1
50 - 60,30,1
50 - 60,34,1
50 - 60,38,1
60 - 70,12,2
60 - 70,13,4
60 - 70,14,1
60 - 70,15,1
60 - 70,19,2
60 - 70,20,2
60 - 70,21,1
60 - 70,24,1
60 - 70,25,1
60 - 70,27,1
60 - 70,30,1
60 - 70,31,1
60 - 70,32,3
60 - 70,34,1
60 - 70,38,1
60 - 70,43,1
70 - 80,13,1
70 - 80,15,3
70 - 80,16,4
70 - 80,19,2
70 - 80,32,2
70 - 80,33,1
70 - 80,36,1
70 - 80,42,1
70 - 80,44,1
70 - 80,45,2
80 - 90,15,1
80 - 90,19,6
80 - 90,20,1
80 - 90,44,3
80 - 90,45,1
80 - 90,46,1
80 - 90,52,1
90 - 100,19,4
90 - 100,44,1
90 - 100,52,6
90 - 100,53,1
100 - 110,46,1
100 - 110,51,1
100 - 110,52,2
100 - 110,53,1
100 - 110,55,3
110 - 120,47,1
110 - 120,52,1
110 - 120,53,2
110 - 120,55,4
120 - 130,69,1
120 - 130,75,1
130 - 140,67,1
140 - 150,57,1
140 - 150,67,2
150 - 160,55,1
150 - 160,57,2
150 - 160,58,1
150 - 160,67,1
150 - 160,68,1
150 - 160,76,1
160 - 170,56,1
160 - 170,57,5
160 - 170,58,1
160 - 170,65,1
160 - 170,68,1
160 - 170,69,1
170 - 180,57,2
170 - 180,65,2
170 - 180,66,1
170 - 180,78,1
180 - 190,56,1
190 - 200,30,1
190 - 200,66,1
200 - 210,30,2
200 - 210,31,1
200 - 210,32,1
210 - 220,30,3
210 - 220,44,1
220 - 230,30,1
220 - 230,31,1
230 - 240,44,4
230 - 240,45,1
230 - 240,46,1
240 - 250,44,1
250 - 260,45,1
260 - 270,45,1
