Load,Native Load,WeekHour
19.1,17.3,1
18.6,16.8,2
18.4,16.5,3
18.4,16.5,4
18.5,16.7,5
19.6,18.0,6
20.3,18.9,7
23.2,21.6,8
26.1,23.8,9
28.5,24.7,10
30.9,24.8,11
32.1,24.4,12
32.7,24.6,13
32.4,24.8,14
31.0,24.8,15
28.4,24.2,16
25.8,23.4,17
25.3,24.1,18
24.9,23.9,19
24.3,23.5,20
23.3,22.4,21
21.9,20.8,22
22.3,21.2,23
21.8,20.6,24
21.3,20.0,25
20.9,19.4,26
20.7,19.1,27
20.7,19.1,28
20.7,19.3,29
20.2,18.6,30
20.9,19.4,31
23.5,22.1,32
26.4,24.4,33
28.7,25.1,34
31.3,25.1,35
32.7,24.6,36
33.2,24.7,37
32.9,24.8,38
31.2,24.7,39
28.4,24.1,40
25.6,23.1,41
24.8,23.6,42
24.4,23.6,43
24.0,23.2,44
23.1,22.2,45
21.7,20.6,46
22.3,21.2,47
21.7,20.6,48
21.2,19.9,49
20.7,19.2,50
20.5,18.9,51
20.4,18.8,52
20.4,18.9,53
20.2,18.6,54
20.8,19.3,55
23.5,22.1,56
26.4,24.4,57
28.5,24.9,58
31.0,24.9,59
32.4,24.6,60
33.0,24.6,61
32.7,24.9,62
31.2,24.8,63
28.6,24.3,64
25.9,23.4,65
25.0,23.7,66
24.5,23.6,67
24.0,23.1,68
23.2,22.1,69
21.8,20.6,70
22.4,21.3,71
21.9,20.7,72
21.4,19.9,73
20.8,19.3,74
20.6,18.9,75
20.5,18.9,76
20.5,18.9,77
20.3,18.6,78
20.9,19.4,79
23.6,22.2,80
26.5,24.4,81
28.8,25.2,82
31.2,25.2,83
32.5,24.8,84
33.1,24.8,85
32.7,24.9,86
31.2,24.9,87
28.5,24.3,88
25.7,23.3,89
25.0,23.8,90
24.7,23.8,91
24.2,23.3,92
23.3,22.4,93
22.0,20.9,94
22.5,21.4,95
21.9,20.7,96
21.4,20.0,97
20.8,19.4,98
20.6,19.0,99
20.6,19.0,100
20.6,19.1,101
20.3,18.6,102
20.7,19.2,103
23.0,21.5,104
25.6,23.4,105
28.0,24.4,106
30.6,24.6,107
31.9,24.2,108
32.5,24.2,109
32.1,24.2,110
30.5,23.9,111
27.7,23.4,112
25.2,22.8,113
24.2,22.9,114
23.8,22.7,115
23.3,22.3,116
22.4,21.4,117
21.4,20.2,118
22.2,21.0,119
21.7,20.4,120
21.2,19.7,121
20.6,19.0,122
20.4,18.6,123
20.3,18.5,124
20.2,18.4,125
19.3,17.0,126
20.4,18.1,127
22.0,19.7,128
24.4,21.3,129
27.3,22.5,130
30.2,23.3,131
31.6,23.6,132
32.1,23.5,133
31.5,23.3,134
29.9,23.1,135
27.4,22.9,136
25.6,22.8,137
24.2,22.4,138
23.6,22.1,139
23.0,21.6,140
22.3,20.9,141
21.7,20.1,142
20.9,19.4,143
20.0,18.3,144
19.6,17.7,145
19.2,17.3,146
18.8,16.8,147
18.7,16.6,148
18.5,16.4,149
18.9,16.6,150
19.6,17.3,151
20.9,18.2,152
22.9,19.3,153
25.7,20.2,154
28.6,20.8,155
30.2,21.3,156
30.9,21.6,157
30.3,21.5,158
28.7,21.6,159
26.2,21.5,160
24.7,21.8,161
23.7,21.9,162
23.2,21.8,163
22.7,21.4,164
22.1,20.8,165
21.3,19.9,166
20.5,19.1,167
19.5,17.9,168
